都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2021,501,2,2524,78,NA,2015-06-11
JP-02,青森県,216,304,5,525,21,NA,2015-06-11
JP-03,岩手県,26294,374,5,26673,29,※1,2015-06-11
JP-04,宮城県,60621,1190,5,61816,35,※1,2015-06-11
JP-05,秋田県,464,431,0,895,20,NA,2015-06-11
JP-06,山形県,3242,622,37,3901,30,NA,2015-06-11
JP-07,福島県,62911,2574,NA,65485,46,※2 ※1,2015-06-11
JP-08,茨城県,2867,992,35,3894,42,NA,2015-06-11
JP-09,栃木県,2120,728,81,2929,25,NA,2015-06-11
JP-10,群馬県,885,288,116,1289,25,NA,2015-06-11
JP-11,埼玉県,3677,1744,31,5452,57,NA,2015-06-11
JP-12,千葉県,1897,1623,35,3555,44,NA,2015-06-11
JP-13,東京都,5544,1800,31,7375,55,NA,2015-06-11
JP-14,神奈川県,1780,2105,0,3885,32,※1,2015-06-11
JP-15,新潟県,3618,156,53,3827,28,NA,2015-06-11
JP-16,富山県,124,92,0,216,8,NA,2015-06-11
JP-17,石川県,240,52,4,296,10,NA,2015-06-11
JP-18,福井県,204,40,0,244,12,NA,2015-06-11
JP-19,山梨県,576,107,1,684,21,NA,2015-06-11
JP-20,長野県,846,182,0,1028,42,NA,2015-06-11
JP-21,岐阜県,193,77,0,270,23,NA,2015-06-11
JP-22,静岡県,644,251,5,900,31,NA,2015-06-11
JP-23,愛知県,975,141,0,1116,42,NA,2015-06-11
JP-24,三重県,369,75,0,444,15,NA,2015-06-11
JP-25,滋賀県,140,70,0,210,14,NA,2015-06-11
JP-26,京都府,438,293,0,731,14,NA,2015-06-11
JP-27,大阪府,598,185,0,783,30,NA,2015-06-11
JP-28,兵庫県,611,266,0,877,26,NA,2015-06-11
JP-29,奈良県,76,77,0,153,17,NA,2015-06-11
JP-30,和歌山県,62,32,0,94,12,NA,2015-06-11
JP-31,鳥取県,102,52,0,154,12,NA,2015-06-11
JP-32,島根県,71,19,4,94,11,NA,2015-06-11
JP-33,岡山県,776,365,0,1141,18,NA,2015-06-11
JP-34,広島県,229,189,1,419,15,NA,2015-06-11
JP-35,山口県,86,34,0,120,10,NA,2015-06-11
JP-36,徳島県,36,30,0,66,12,NA,2015-06-11
JP-37,香川県,67,16,0,83,7,NA,2015-06-11
JP-38,愛媛県,42,136,2,180,11,NA,2015-06-11
JP-39,高知県,43,41,0,84,12,NA,2015-06-11
JP-40,福岡県,550,146,0,696,38,NA,2015-06-11
JP-41,佐賀県,128,37,0,165,9,NA,2015-06-11
JP-42,長崎県,88,34,0,122,9,NA,2015-06-11
JP-43,熊本県,267,94,0,361,18,NA,2015-06-11
JP-44,大分県,195,28,1,224,15,NA,2015-06-11
JP-45,宮崎県,176,56,0,232,11,NA,2015-06-11
JP-46,鹿児島県,120,67,3,190,23,NA,2015-06-11
JP-47,沖縄県,695,30,5,730,31,NA,2015-06-11
