都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1633,502,3,2138,80,NA,2015-12-10
JP-02,青森県,199,295,4,498,20,NA,2015-12-10
JP-03,岩手県,23074,446,5,23525,30,※1,2015-12-10
JP-04,宮城県,49019,1182,5,50206,35,※1,2015-12-10
JP-05,秋田県,428,429,0,857,20,NA,2015-12-10
JP-06,山形県,2871,649,35,3555,30,NA,2015-12-10
JP-07,福島県,55525,2250,NA,57775,46,※2 ※1,2015-12-10
JP-08,茨城県,2557,1161,37,3755,41,NA,2015-12-10
JP-09,栃木県,2105,738,80,2923,25,NA,2015-12-10
JP-10,群馬県,827,307,106,1240,26,NA,2015-12-10
JP-11,埼玉県,3450,1654,34,5138,58,NA,2015-12-10
JP-12,千葉県,1819,1401,32,3252,44,NA,2015-12-10
JP-13,東京都,5329,1754,35,7118,55,NA,2015-12-10
JP-14,神奈川県,1652,2100,0,3752,32,※1,2015-12-10
JP-15,新潟県,3492,150,48,3690,28,NA,2015-12-10
JP-16,富山県,119,92,0,211,8,NA,2015-12-10
JP-17,石川県,235,54,4,293,10,NA,2015-12-10
JP-18,福井県,200,35,0,235,12,NA,2015-12-10
JP-19,山梨県,571,115,1,687,21,NA,2015-12-10
JP-20,長野県,774,188,0,962,41,NA,2015-12-10
JP-21,岐阜県,175,91,0,266,23,NA,2015-12-10
JP-22,静岡県,576,269,5,850,31,NA,2015-12-10
JP-23,愛知県,941,134,0,1075,41,NA,2015-12-10
JP-24,三重県,361,74,0,435,15,NA,2015-12-10
JP-25,滋賀県,129,81,0,210,14,NA,2015-12-10
JP-26,京都府,411,305,0,716,14,NA,2015-12-10
JP-27,大阪府,514,185,0,699,30,NA,2015-12-10
JP-28,兵庫県,598,265,0,863,26,NA,2015-12-10
JP-29,奈良県,75,76,0,151,17,NA,2015-12-10
JP-30,和歌山県,59,26,0,85,12,NA,2015-12-10
JP-31,鳥取県,96,50,0,146,12,NA,2015-12-10
JP-32,島根県,68,19,4,91,11,NA,2015-12-10
JP-33,岡山県,741,335,0,1076,18,NA,2015-12-10
JP-34,広島県,195,190,1,386,14,NA,2015-12-10
JP-35,山口県,78,32,0,110,10,NA,2015-12-10
JP-36,徳島県,30,13,0,43,11,NA,2015-12-10
JP-37,香川県,67,14,0,81,7,NA,2015-12-10
JP-38,愛媛県,39,136,2,177,11,NA,2015-12-10
JP-39,高知県,37,48,0,85,12,NA,2015-12-10
JP-40,福岡県,547,148,0,695,39,NA,2015-12-10
JP-41,佐賀県,114,37,0,151,9,NA,2015-12-10
JP-42,長崎県,87,33,0,120,9,NA,2015-12-10
JP-43,熊本県,263,94,0,357,18,NA,2015-12-10
JP-44,大分県,174,21,1,196,15,NA,2015-12-10
JP-45,宮崎県,166,62,0,228,11,NA,2015-12-10
JP-46,鹿児島県,120,66,2,188,22,NA,2015-12-10
JP-47,沖縄県,677,28,5,710,31,NA,2015-12-10
