都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2055,518,2,2575,82,NA,2014-12-11
JP-02,青森県,246,326,6,578,21,NA,2014-12-11
JP-03,岩手県,29928,356,5,30289,29,※1,2014-12-11
JP-04,宮城県,72637,1154,5,73796,35,※1,2014-12-11
JP-05,秋田県,563,442,0,1005,20,NA,2014-12-11
JP-06,山形県,3894,599,44,4537,30,NA,2014-12-11
JP-07,福島県,72786,2654,NA,75440,46,※2 ※1,2014-12-11
JP-08,茨城県,3475,750,40,4265,42,NA,2014-12-11
JP-09,栃木県,2167,698,93,2958,25,NA,2014-12-11
JP-10,群馬県,988,274,129,1391,25,NA,2014-12-11
JP-11,埼玉県,4045,1572,33,5650,57,NA,2014-12-11
JP-12,千葉県,1888,1596,32,3516,46,NA,2014-12-11
JP-13,東京都,5787,1736,30,7553,56,NA,2014-12-11
JP-14,神奈川県,2063,0,0,2063,24,※1,2014-12-11
JP-15,新潟県,3890,162,61,4113,28,NA,2014-12-11
JP-16,富山県,189,58,3,250,10,NA,2014-12-11
JP-17,石川県,278,52,4,334,11,NA,2014-12-11
JP-18,福井県,208,40,0,248,12,NA,2014-12-11
JP-19,山梨県,602,106,1,709,21,NA,2014-12-11
JP-20,長野県,903,170,0,1073,41,NA,2014-12-11
JP-21,岐阜県,204,105,0,309,25,NA,2014-12-11
JP-22,静岡県,672,266,4,942,30,NA,2014-12-11
JP-23,愛知県,1006,150,0,1156,43,NA,2014-12-11
JP-24,三重県,364,99,0,463,15,NA,2014-12-11
JP-25,滋賀県,154,81,0,235,14,NA,2014-12-11
JP-26,京都府,484,333,0,817,15,NA,2014-12-11
JP-27,大阪府,677,185,0,862,30,NA,2014-12-11
JP-28,兵庫県,622,273,0,895,27,NA,2014-12-11
JP-29,奈良県,77,83,0,160,18,NA,2014-12-11
JP-30,和歌山県,63,32,0,95,12,NA,2014-12-11
JP-31,鳥取県,121,51,0,172,12,NA,2014-12-11
JP-32,島根県,69,23,3,95,11,NA,2014-12-11
JP-33,岡山県,754,366,0,1120,18,NA,2014-12-11
JP-34,広島県,263,187,1,451,15,NA,2014-12-11
JP-35,山口県,85,41,0,126,10,NA,2014-12-11
JP-36,徳島県,36,30,0,66,12,NA,2014-12-11
JP-37,香川県,75,16,0,91,7,NA,2014-12-11
JP-38,愛媛県,41,139,2,182,11,NA,2014-12-11
JP-39,高知県,49,43,0,92,12,NA,2014-12-11
JP-40,福岡県,546,151,0,697,39,NA,2014-12-11
JP-41,佐賀県,151,22,0,173,9,NA,2014-12-11
JP-42,長崎県,92,35,0,127,10,NA,2014-12-11
JP-43,熊本県,275,88,0,363,18,NA,2014-12-11
JP-44,大分県,197,27,1,225,15,NA,2014-12-11
JP-45,宮崎県,176,56,0,232,11,NA,2014-12-11
JP-46,鹿児島県,139,64,1,204,24,NA,2014-12-11
JP-47,沖縄県,778,36,5,819,30,NA,2014-12-11
