都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1797,488,2,2287,78,NA,2015-10-08
JP-02,青森県,204,286,4,494,20,NA,2015-10-08
JP-03,岩手県,24300,444,5,24749,30,※1,2015-10-08
JP-04,宮城県,52688,1186,5,53879,35,※1,2015-10-08
JP-05,秋田県,444,425,0,869,20,NA,2015-10-08
JP-06,山形県,2969,648,37,3654,30,NA,2015-10-08
JP-07,福島県,58294,2294,NA,60588,46,※2 ※1,2015-10-08
JP-08,茨城県,2657,1132,40,3829,42,NA,2015-10-08
JP-09,栃木県,2114,737,80,2931,25,NA,2015-10-08
JP-10,群馬県,865,290,106,1261,25,NA,2015-10-08
JP-11,埼玉県,3497,1733,33,5263,58,NA,2015-10-08
JP-12,千葉県,1842,1390,33,3265,44,NA,2015-10-08
JP-13,東京都,5417,1762,31,7210,55,NA,2015-10-08
JP-14,神奈川県,1692,2105,0,3797,32,※1,2015-10-08
JP-15,新潟県,3519,151,48,3718,28,NA,2015-10-08
JP-16,富山県,121,92,0,213,8,NA,2015-10-08
JP-17,石川県,239,52,4,295,10,NA,2015-10-08
JP-18,福井県,202,35,0,237,12,NA,2015-10-08
JP-19,山梨県,573,114,1,688,21,NA,2015-10-08
JP-20,長野県,789,176,0,965,41,NA,2015-10-08
JP-21,岐阜県,184,86,0,270,23,NA,2015-10-08
JP-22,静岡県,588,282,5,875,31,NA,2015-10-08
JP-23,愛知県,959,136,0,1095,42,NA,2015-10-08
JP-24,三重県,361,74,0,435,15,NA,2015-10-08
JP-25,滋賀県,130,79,0,209,14,NA,2015-10-08
JP-26,京都府,418,302,0,720,14,NA,2015-10-08
JP-27,大阪府,559,185,0,744,30,NA,2015-10-08
JP-28,兵庫県,598,266,0,864,26,NA,2015-10-08
JP-29,奈良県,74,77,0,151,17,NA,2015-10-08
JP-30,和歌山県,59,28,0,87,12,NA,2015-10-08
JP-31,鳥取県,97,50,0,147,12,NA,2015-10-08
JP-32,島根県,74,19,4,97,11,NA,2015-10-08
JP-33,岡山県,743,340,0,1083,18,NA,2015-10-08
JP-34,広島県,213,200,1,414,15,NA,2015-10-08
JP-35,山口県,78,32,0,110,10,NA,2015-10-08
JP-36,徳島県,30,13,0,43,11,NA,2015-10-08
JP-37,香川県,67,14,0,81,7,NA,2015-10-08
JP-38,愛媛県,39,136,2,177,11,NA,2015-10-08
JP-39,高知県,37,48,0,85,12,NA,2015-10-08
JP-40,福岡県,547,148,0,695,39,NA,2015-10-08
JP-41,佐賀県,118,37,0,155,9,NA,2015-10-08
JP-42,長崎県,88,33,0,121,9,NA,2015-10-08
JP-43,熊本県,263,94,0,357,18,NA,2015-10-08
JP-44,大分県,175,21,1,197,15,NA,2015-10-08
JP-45,宮崎県,170,61,0,231,11,NA,2015-10-08
JP-46,鹿児島県,120,66,3,189,23,NA,2015-10-08
JP-47,沖縄県,684,28,5,717,31,NA,2015-10-08
