都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,536,2325,2861,91,NA,2013-05-09
JP-02,青森県,0,0,490,461,951,24,NA,2013-05-09
JP-03,岩手県,0,0,328,39054,39382,28,※1,2013-05-09
JP-04,宮城県,0,0,1055,103383,104438,35,※1,2013-05-09
JP-05,秋田県,0,0,478,746,1224,20,NA,2013-05-09
JP-06,山形県,0,0,548,8762,9310,34,NA,2013-05-09
JP-07,福島県,0,0,NA,94876,94876,47,※1,2013-05-09
JP-08,茨城県,0,0,568,4780,5348,42,NA,2013-05-09
JP-09,栃木県,0,0,541,2526,3067,25,NA,2013-05-09
JP-10,群馬県,0,0,215,1482,1697,28,NA,2013-05-09
JP-11,埼玉県,123,0,0,3518,3641,56,NA,2013-05-09
JP-12,千葉県,0,NA,4015,NA,4015,45,NA,2013-05-09
JP-13,東京都,0,0,2233,6727,8960,56,NA,2013-05-09
JP-14,神奈川県,0,0,0,2626,2626,24,※1,2013-05-09
JP-15,新潟県,0,0,246,5078,5324,28,※1,2013-05-09
JP-16,富山県,0,0,66,230,296,10,NA,2013-05-09
JP-17,石川県,0,0,69,380,449,11,NA,2013-05-09
JP-18,福井県,0,0,67,231,298,14,NA,2013-05-09
JP-19,山梨県,0,0,155,638,793,21,NA,2013-05-09
JP-20,長野県,0,0,149,1094,1243,45,NA,2013-05-09
JP-21,岐阜県,0,0,125,193,318,27,NA,2013-05-09
JP-22,静岡県,0,0,292,823,1115,33,NA,2013-05-09
JP-23,愛知県,0,0,205,1043,1248,46,NA,2013-05-09
JP-24,三重県,0,0,99,403,502,17,NA,2013-05-09
JP-25,滋賀県,0,0,228,122,350,15,NA,2013-05-09
JP-26,京都府,0,0,284,706,990,16,NA,2013-05-09
JP-27,大阪府,0,0,297,854,1151,31,NA,2013-05-09
JP-28,兵庫県,0,0,284,718,1002,27,NA,2013-05-09
JP-29,奈良県,0,0,90,83,173,18,NA,2013-05-09
JP-30,和歌山県,0,0,37,66,103,11,NA,2013-05-09
JP-31,鳥取県,0,0,48,148,196,12,NA,2013-05-09
JP-32,島根県,0,0,24,107,131,13,NA,2013-05-09
JP-33,岡山県,0,0,285,663,948,19,NA,2013-05-09
JP-34,広島県,0,0,209,346,555,15,NA,2013-05-09
JP-35,山口県,0,0,48,110,158,14,NA,2013-05-09
JP-36,徳島県,0,0,33,52,85,11,NA,2013-05-09
JP-37,香川県,0,0,12,85,97,7,NA,2013-05-09
JP-38,愛媛県,0,0,142,49,191,11,NA,2013-05-09
JP-39,高知県,0,0,66,64,130,15,NA,2013-05-09
JP-40,福岡県,0,0,149,582,731,37,NA,2013-05-09
JP-41,佐賀県,0,0,31,217,248,9,NA,2013-05-09
JP-42,長崎県,0,0,51,93,144,11,NA,2013-05-09
JP-43,熊本県,0,0,107,290,397,20,NA,2013-05-09
JP-44,大分県,0,0,45,246,291,15,NA,2013-05-09
JP-45,宮崎県,0,0,82,185,267,10,NA,2013-05-09
JP-46,鹿児島県,0,0,83,162,245,26,NA,2013-05-09
JP-47,沖縄県,0,0,69,937,1006,30,NA,2013-05-09
