都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,695,2330,3025,102,NA,2012-02-09
JP-02,青森県,0,0,605,802,1407,27,NA,2012-02-09
JP-03,岩手県,0,0,863,42910,43773,28,※1,2012-02-09
JP-04,宮城県,0,0,123,126109,126232,34,※1,2012-02-09
JP-05,秋田県,0,0,655,904,1559,20,NA,2012-02-09
JP-06,山形県,0,67,659,13036,13762,34,NA,2012-02-09
JP-07,福島県,0,1,NA,97230,97231,47,※1,2012-02-09
JP-08,茨城県,0,0,650,5078,5728,41,NA,2012-02-09
JP-09,栃木県,0,0,959,2214,3173,25,NA,2012-02-09
JP-10,群馬県,0,0,284,1750,2034,27,NA,2012-02-09
JP-11,埼玉県,578,0,0,4213,4791,56,NA,2012-02-09
JP-12,千葉県,0,NA,3679,NA,3679,46,NA,2012-02-09
JP-13,東京都,6,0,2557,6585,9148,56,NA,2012-02-09
JP-14,神奈川県,0,0,0,2871,2871,2,※1,2012-02-09
JP-15,新潟県,0,0,441,6654,7095,30,※1,2012-02-09
JP-16,富山県,0,0,94,302,396,9,NA,2012-02-09
JP-17,石川県,0,0,139,369,508,14,NA,2012-02-09
JP-18,福井県,0,0,79,378,457,16,NA,2012-02-09
JP-19,山梨県,0,0,262,577,839,21,NA,2012-02-09
JP-20,長野県,0,0,201,1169,1370,49,NA,2012-02-09
JP-21,岐阜県,0,0,191,242,433,29,NA,2012-02-09
JP-22,静岡県,0,10,446,963,1419,31,NA,2012-02-09
JP-23,愛知県,0,0,248,1018,1266,45,NA,2012-02-09
JP-24,三重県,0,0,82,336,418,13,NA,2012-02-09
JP-25,滋賀県,0,0,260,131,391,16,NA,2012-02-09
JP-26,京都府,0,NA,251,807,1058,18,NA,2012-02-09
JP-27,大阪府,0,0,298,1125,1423,30,NA,2012-02-09
JP-28,兵庫県,0,0,391,663,1054,27,NA,2012-02-09
JP-29,奈良県,0,0,68,85,153,18,NA,2012-02-09
JP-30,和歌山県,0,0,46,83,129,13,NA,2012-02-09
JP-31,鳥取県,0,0,53,137,190,14,NA,2012-02-09
JP-32,島根県,0,0,23,121,144,12,NA,2012-02-09
JP-33,岡山県,0,2,210,434,646,18,NA,2012-02-09
JP-34,広島県,0,0,147,375,522,14,NA,2012-02-09
JP-35,山口県,0,0,80,118,198,13,NA,2012-02-09
JP-36,徳島県,0,0,72,93,165,14,NA,2012-02-09
JP-37,香川県,0,0,31,63,94,9,NA,2012-02-09
JP-38,愛媛県,0,0,149,86,235,12,NA,2012-02-09
JP-39,高知県,0,0,82,58,140,16,NA,2012-02-09
JP-40,福岡県,0,0,184,519,703,39,NA,2012-02-09
JP-41,佐賀県,0,0,72,247,319,11,NA,2012-02-09
JP-42,長崎県,0,0,64,112,176,14,NA,2012-02-09
JP-43,熊本県,0,0,120,181,301,23,NA,2012-02-09
JP-44,大分県,0,0,83,267,350,15,NA,2012-02-09
JP-45,宮崎県,0,0,98,160,258,13,NA,2012-02-09
JP-46,鹿児島県,0,0,106,165,271,26,NA,2012-02-09
JP-47,沖縄県,0,17,101,857,975,26,NA,2012-02-09
