都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1506,470,6,1982,78,NA,2016-10-13
JP-02,青森県,175,226,4,405,19,NA,2016-10-13
JP-03,岩手県,16496,508,2,17006,26,※1,2016-10-13
JP-04,宮城県,28284,1233,6,29523,34,※1,2016-10-13
JP-05,秋田県,360,374,0,734,19,NA,2016-10-13
JP-06,山形県,2269,710,26,3005,30,NA,2016-10-13
JP-07,福島県,42760,2239,NA,44999,47,※2 ※1,2016-10-13
JP-08,茨城県,2395,1384,30,3809,40,NA,2016-10-13
JP-09,栃木県,2092,750,68,2910,25,NA,2016-10-13
JP-10,群馬県,705,293,14,1012,26,NA,2016-10-13
JP-11,埼玉県,2840,1715,39,4594,56,NA,2016-10-13
JP-12,千葉県,1694,1340,29,3063,43,NA,2016-10-13
JP-13,東京都,4911,1500,35,6446,53,NA,2016-10-13
JP-14,神奈川県,1419,2087,0,3506,32,NA,2016-10-13
JP-15,新潟県,3164,144,31,3339,26,NA,2016-10-13
JP-16,富山県,108,63,0,171,8,NA,2016-10-13
JP-17,石川県,220,48,4,272,11,NA,2016-10-13
JP-18,福井県,170,26,0,196,10,NA,2016-10-13
JP-19,山梨県,560,117,1,678,21,NA,2016-10-13
JP-20,長野県,688,197,0,885,39,NA,2016-10-13
JP-21,岐阜県,165,85,0,250,22,NA,2016-10-13
JP-22,静岡県,553,259,4,816,31,NA,2016-10-13
JP-23,愛知県,901,121,0,1022,39,NA,2016-10-13
JP-24,三重県,364,81,0,445,15,NA,2016-10-13
JP-25,滋賀県,126,86,0,212,13,NA,2016-10-13
JP-26,京都府,309,294,0,603,14,NA,2016-10-13
JP-27,大阪府,377,0,0,377,18,NA,2016-10-13
JP-28,兵庫県,571,271,0,842,26,NA,2016-10-13
JP-29,奈良県,68,74,0,142,18,NA,2016-10-13
JP-30,和歌山県,59,24,0,83,11,NA,2016-10-13
JP-31,鳥取県,83,52,0,135,11,NA,2016-10-13
JP-32,島根県,58,12,2,72,9,NA,2016-10-13
JP-33,岡山県,700,318,0,1018,18,NA,2016-10-13
JP-34,広島県,181,188,1,370,14,NA,2016-10-13
JP-35,山口県,73,29,0,102,10,NA,2016-10-13
JP-36,徳島県,22,12,0,34,9,NA,2016-10-13
JP-37,香川県,60,16,0,76,8,NA,2016-10-13
JP-38,愛媛県,39,136,2,177,11,NA,2016-10-13
JP-39,高知県,17,42,0,59,10,NA,2016-10-13
JP-40,福岡県,532,146,0,678,39,NA,2016-10-13
JP-41,佐賀県,109,37,0,146,8,NA,2016-10-13
JP-42,長崎県,83,34,0,117,9,NA,2016-10-13
JP-43,熊本県,263,94,0,357,18,NA,2016-10-13
JP-44,大分県,157,14,1,172,14,NA,2016-10-13
JP-45,宮崎県,176,62,1,239,12,NA,2016-10-13
JP-46,鹿児島県,106,63,1,170,22,NA,2016-10-13
JP-47,沖縄県,581,24,6,611,31,NA,2016-10-13
