都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1566,467,6,2039,78,NA,2016-08-12
JP-02,青森県,178,229,4,411,20,NA,2016-08-12
JP-03,岩手県,17727,470,2,18199,24,※1,2016-08-12
JP-04,宮城県,30945,1226,6,32177,34,※1,2016-08-12
JP-05,秋田県,374,386,0,760,19,NA,2016-08-12
JP-06,山形県,2342,712,32,3086,30,NA,2016-08-12
JP-07,福島県,44802,2244,NA,47046,47,※2 ※1,2016-08-12
JP-08,茨城県,2434,1336,34,3804,39,NA,2016-08-12
JP-09,栃木県,2096,744,75,2915,25,NA,2016-08-12
JP-10,群馬県,721,294,16,1031,26,NA,2016-08-12
JP-11,埼玉県,2927,1710,37,4674,56,NA,2016-08-12
JP-12,千葉県,1714,1336,29,3079,43,NA,2016-08-12
JP-13,東京都,5022,1538,39,6599,55,NA,2016-08-12
JP-14,神奈川県,1437,2087,0,3524,32,NA,2016-08-12
JP-15,新潟県,3193,145,33,3371,26,NA,2016-08-12
JP-16,富山県,108,66,0,174,8,NA,2016-08-12
JP-17,石川県,215,48,4,267,11,NA,2016-08-12
JP-18,福井県,170,26,0,196,10,NA,2016-08-12
JP-19,山梨県,560,117,1,678,21,NA,2016-08-12
JP-20,長野県,695,194,0,889,39,NA,2016-08-12
JP-21,岐阜県,169,85,0,254,22,NA,2016-08-12
JP-22,静岡県,554,259,4,817,31,NA,2016-08-12
JP-23,愛知県,914,120,0,1034,40,NA,2016-08-12
JP-24,三重県,364,81,0,445,15,NA,2016-08-12
JP-25,滋賀県,127,83,0,210,13,NA,2016-08-12
JP-26,京都府,333,292,0,625,14,NA,2016-08-12
JP-27,大阪府,395,0,0,395,18,NA,2016-08-12
JP-28,兵庫県,579,271,0,850,26,NA,2016-08-12
JP-29,奈良県,68,74,0,142,18,NA,2016-08-12
JP-30,和歌山県,64,24,0,88,11,NA,2016-08-12
JP-31,鳥取県,85,50,0,135,11,NA,2016-08-12
JP-32,島根県,58,11,2,71,9,NA,2016-08-12
JP-33,岡山県,702,329,0,1031,18,NA,2016-08-12
JP-34,広島県,184,188,1,373,14,NA,2016-08-12
JP-35,山口県,74,33,0,107,10,NA,2016-08-12
JP-36,徳島県,22,12,0,34,9,NA,2016-08-12
JP-37,香川県,62,16,0,78,8,NA,2016-08-12
JP-38,愛媛県,39,136,2,177,11,NA,2016-08-12
JP-39,高知県,33,41,0,74,12,NA,2016-08-12
JP-40,福岡県,532,146,0,678,39,NA,2016-08-12
JP-41,佐賀県,110,37,0,147,8,NA,2016-08-12
JP-42,長崎県,83,34,0,117,9,NA,2016-08-12
JP-43,熊本県,263,94,0,357,18,NA,2016-08-12
JP-44,大分県,161,14,1,176,14,NA,2016-08-12
JP-45,宮崎県,176,64,1,241,12,NA,2016-08-12
JP-46,鹿児島県,111,63,1,175,22,NA,2016-08-12
JP-47,沖縄県,593,23,4,620,31,NA,2016-08-12
