都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2039,522,2,2563,82,NA,2015-02-12
JP-02,青森県,245,324,6,575,21,NA,2015-02-12
JP-03,岩手県,29072,356,5,29433,29,※1,2015-02-12
JP-04,宮城県,69780,1164,5,70949,35,※1,2015-02-12
JP-05,秋田県,558,447,0,1005,20,NA,2015-02-12
JP-06,山形県,3740,617,41,4398,30,NA,2015-02-12
JP-07,福島県,70147,2643,NA,72790,46,※2 ※1,2015-02-12
JP-08,茨城県,3382,843,39,4264,42,NA,2015-02-12
JP-09,栃木県,2161,709,84,2954,25,NA,2015-02-12
JP-10,群馬県,963,275,128,1366,25,NA,2015-02-12
JP-11,埼玉県,4016,1589,33,5638,57,NA,2015-02-12
JP-12,千葉県,1882,1597,33,3512,46,NA,2015-02-12
JP-13,東京都,5731,1748,30,7509,56,NA,2015-02-12
JP-14,神奈川県,2028,2146,0,4174,32,※3 ※1,2015-02-12
JP-15,新潟県,3871,157,61,4089,28,NA,2015-02-12
JP-16,富山県,187,61,3,251,10,NA,2015-02-12
JP-17,石川県,258,52,4,314,11,NA,2015-02-12
JP-18,福井県,208,40,0,248,12,NA,2015-02-12
JP-19,山梨県,579,104,1,684,21,NA,2015-02-12
JP-20,長野県,882,177,0,1059,42,NA,2015-02-12
JP-21,岐阜県,203,102,0,305,25,NA,2015-02-12
JP-22,静岡県,661,252,5,918,31,NA,2015-02-12
JP-23,愛知県,1006,148,0,1154,43,NA,2015-02-12
JP-24,三重県,364,102,0,466,15,NA,2015-02-12
JP-25,滋賀県,153,75,0,228,14,NA,2015-02-12
JP-26,京都府,481,329,0,810,15,NA,2015-02-12
JP-27,大阪府,669,185,0,854,30,NA,2015-02-12
JP-28,兵庫県,622,267,0,889,26,NA,2015-02-12
JP-29,奈良県,78,83,0,161,18,NA,2015-02-12
JP-30,和歌山県,63,32,0,95,12,NA,2015-02-12
JP-31,鳥取県,119,51,0,170,12,NA,2015-02-12
JP-32,島根県,68,23,4,95,11,NA,2015-02-12
JP-33,岡山県,760,360,0,1120,18,NA,2015-02-12
JP-34,広島県,249,187,1,437,15,NA,2015-02-12
JP-35,山口県,85,41,0,126,10,NA,2015-02-12
JP-36,徳島県,36,30,0,66,12,NA,2015-02-12
JP-37,香川県,79,16,0,95,7,NA,2015-02-12
JP-38,愛媛県,42,139,2,183,11,NA,2015-02-12
JP-39,高知県,43,41,0,84,12,NA,2015-02-12
JP-40,福岡県,546,146,0,692,39,NA,2015-02-12
JP-41,佐賀県,151,20,0,171,9,NA,2015-02-12
JP-42,長崎県,90,35,0,125,10,NA,2015-02-12
JP-43,熊本県,275,88,0,363,18,NA,2015-02-12
JP-44,大分県,194,28,1,223,15,NA,2015-02-12
JP-45,宮崎県,177,56,0,233,11,NA,2015-02-12
JP-46,鹿児島県,137,64,1,202,23,NA,2015-02-12
JP-47,沖縄県,782,36,5,823,30,NA,2015-02-12
