都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,560,2387,2947,91,NA,2013-03-07
JP-02,青森県,0,0,513,636,1149,24,NA,2013-03-07
JP-03,岩手県,0,0,342,39962,40304,29,※1,2013-03-07
JP-04,宮城県,0,0,1035,107322,108357,35,※1,2013-03-07
JP-05,秋田県,0,0,488,793,1281,20,NA,2013-03-07
JP-06,山形県,0,0,570,9412,9982,34,NA,2013-03-07
JP-07,福島県,0,0,NA,97072,97072,47,※1,2013-03-07
JP-08,茨城県,0,0,564,4839,5403,42,NA,2013-03-07
JP-09,栃木県,0,0,501,2600,3101,25,NA,2013-03-07
JP-10,群馬県,0,0,214,1556,1770,28,NA,2013-03-07
JP-11,埼玉県,132,0,0,3857,3989,56,NA,2013-03-07
JP-12,千葉県,0,NA,3993,NA,3993,46,NA,2013-03-07
JP-13,東京都,0,0,2189,6848,9037,55,NA,2013-03-07
JP-14,神奈川県,0,0,0,2719,2719,25,※1,2013-03-07
JP-15,新潟県,0,0,287,5618,5905,28,※1,2013-03-07
JP-16,富山県,0,0,73,233,306,10,NA,2013-03-07
JP-17,石川県,0,0,108,366,474,11,NA,2013-03-07
JP-18,福井県,0,0,69,256,325,15,NA,2013-03-07
JP-19,山梨県,0,0,159,667,826,21,NA,2013-03-07
JP-20,長野県,0,0,147,1136,1283,46,NA,2013-03-07
JP-21,岐阜県,0,0,134,206,340,28,NA,2013-03-07
JP-22,静岡県,0,0,301,857,1158,33,NA,2013-03-07
JP-23,愛知県,0,0,210,1032,1242,46,NA,2013-03-07
JP-24,三重県,0,0,87,421,508,17,NA,2013-03-07
JP-25,滋賀県,0,0,223,124,347,15,NA,2013-03-07
JP-26,京都府,0,0,270,738,1008,16,NA,2013-03-07
JP-27,大阪府,0,0,297,879,1176,31,NA,2013-03-07
JP-28,兵庫県,0,0,310,726,1036,28,NA,2013-03-07
JP-29,奈良県,0,0,90,96,186,18,NA,2013-03-07
JP-30,和歌山県,0,0,39,76,115,13,NA,2013-03-07
JP-31,鳥取県,0,0,53,152,205,13,NA,2013-03-07
JP-32,島根県,0,0,24,109,133,13,NA,2013-03-07
JP-33,岡山県,0,0,277,643,920,19,NA,2013-03-07
JP-34,広島県,0,0,221,355,576,15,NA,2013-03-07
JP-35,山口県,0,0,51,112,163,13,NA,2013-03-07
JP-36,徳島県,0,0,37,51,88,12,NA,2013-03-07
JP-37,香川県,0,0,13,87,100,8,NA,2013-03-07
JP-38,愛媛県,0,0,146,56,202,12,NA,2013-03-07
JP-39,高知県,0,0,67,59,126,15,NA,2013-03-07
JP-40,福岡県,0,0,157,588,745,37,NA,2013-03-07
JP-41,佐賀県,0,0,41,230,271,10,NA,2013-03-07
JP-42,長崎県,0,0,53,97,150,12,NA,2013-03-07
JP-43,熊本県,0,0,106,288,394,22,NA,2013-03-07
JP-44,大分県,0,0,56,273,329,16,NA,2013-03-07
JP-45,宮崎県,0,0,85,177,262,10,NA,2013-03-07
JP-46,鹿児島県,0,0,99,174,273,27,NA,2013-03-07
JP-47,沖縄県,0,0,80,973,1053,28,NA,2013-03-07
