都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,630,2373,3003,100,NA,2012-04-05
JP-02,青森県,0,0,615,795,1410,26,NA,2012-04-05
JP-03,岩手県,0,0,788,41928,42716,28,※1,2012-04-05
JP-04,宮城県,0,0,915,126910,127825,34,※1,2012-04-05
JP-05,秋田県,0,0,592,881,1473,20,NA,2012-04-05
JP-06,山形県,0,5,681,12852,13538,34,NA,2012-04-05
JP-07,福島県,0,0,NA,98595,98595,47,※1,2012-04-05
JP-08,茨城県,0,0,624,5453,6077,42,NA,2012-04-05
JP-09,栃木県,0,0,875,2282,3157,25,NA,2012-04-05
JP-10,群馬県,0,0,281,1693,1974,27,NA,2012-04-05
JP-11,埼玉県,330,0,0,4448,4778,57,NA,2012-04-05
JP-12,千葉県,0,NA,3608,NA,3608,47,NA,2012-04-05
JP-13,東京都,0,0,2473,7032,9505,56,NA,2012-04-05
JP-14,神奈川県,0,0,0,2888,2888,2,※1,2012-04-05
JP-15,新潟県,0,0,388,6602,6990,30,※1,2012-04-05
JP-16,富山県,0,0,93,284,377,11,NA,2012-04-05
JP-17,石川県,0,0,114,385,499,12,NA,2012-04-05
JP-18,福井県,0,0,76,367,443,16,NA,2012-04-05
JP-19,山梨県,0,1,256,580,837,21,NA,2012-04-05
JP-20,長野県,0,0,158,1205,1363,48,NA,2012-04-05
JP-21,岐阜県,0,0,197,215,412,28,NA,2012-04-05
JP-22,静岡県,0,0,416,983,1399,32,NA,2012-04-05
JP-23,愛知県,0,0,245,1015,1260,47,NA,2012-04-05
JP-24,三重県,0,0,83,330,413,13,NA,2012-04-05
JP-25,滋賀県,0,0,253,132,385,16,NA,2012-04-05
JP-26,京都府,0,NA,246,810,1056,18,NA,2012-04-05
JP-27,大阪府,0,0,298,1037,1335,31,NA,2012-04-05
JP-28,兵庫県,0,0,379,654,1033,28,NA,2012-04-05
JP-29,奈良県,0,0,68,98,166,18,NA,2012-04-05
JP-30,和歌山県,0,0,43,87,130,13,NA,2012-04-05
JP-31,鳥取県,0,0,52,142,194,14,NA,2012-04-05
JP-32,島根県,0,0,23,119,142,12,NA,2012-04-05
JP-33,岡山県,0,9,230,532,771,19,NA,2012-04-05
JP-34,広島県,0,0,163,376,539,15,NA,2012-04-05
JP-35,山口県,0,0,84,122,206,13,NA,2012-04-05
JP-36,徳島県,0,0,37,63,100,12,NA,2012-04-05
JP-37,香川県,0,0,36,75,111,9,NA,2012-04-05
JP-38,愛媛県,0,0,152,80,232,13,NA,2012-04-05
JP-39,高知県,0,0,80,62,142,15,NA,2012-04-05
JP-40,福岡県,0,0,178,566,744,39,NA,2012-04-05
JP-41,佐賀県,0,0,54,250,304,10,NA,2012-04-05
JP-42,長崎県,0,0,63,111,174,14,NA,2012-04-05
JP-43,熊本県,0,0,116,196,312,24,NA,2012-04-05
JP-44,大分県,0,0,82,268,350,15,NA,2012-04-05
JP-45,宮崎県,0,0,102,158,260,12,NA,2012-04-05
JP-46,鹿児島県,0,0,105,176,281,27,NA,2012-04-05
JP-47,沖縄県,0,38,108,824,970,27,NA,2012-04-05
