都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1558,464,6,2028,78,NA,2016-09-12
JP-02,青森県,175,230,4,409,20,NA,2016-09-12
JP-03,岩手県,17103,472,2,17577,26,※1,2016-09-12
JP-04,宮城県,29461,1232,6,30699,34,※1,2016-09-12
JP-05,秋田県,364,380,0,744,19,NA,2016-09-12
JP-06,山形県,2318,706,29,3053,30,NA,2016-09-12
JP-07,福島県,43762,2239,NA,46001,47,※2 ※1,2016-09-12
JP-08,茨城県,2444,1391,33,3868,40,NA,2016-09-12
JP-09,栃木県,2092,748,69,2909,25,NA,2016-09-12
JP-10,群馬県,713,294,16,1023,26,NA,2016-09-12
JP-11,埼玉県,2907,1721,38,4666,56,NA,2016-09-12
JP-12,千葉県,1694,1340,29,3063,43,NA,2016-09-12
JP-13,東京都,4946,1512,37,6495,54,NA,2016-09-12
JP-14,神奈川県,1421,2087,0,3508,32,NA,2016-09-12
JP-15,新潟県,3178,145,33,3356,26,NA,2016-09-12
JP-16,富山県,108,66,0,174,8,NA,2016-09-12
JP-17,石川県,216,48,4,268,11,NA,2016-09-12
JP-18,福井県,170,26,0,196,10,NA,2016-09-12
JP-19,山梨県,560,117,1,678,21,NA,2016-09-12
JP-20,長野県,691,196,0,887,39,NA,2016-09-12
JP-21,岐阜県,165,85,0,250,22,NA,2016-09-12
JP-22,静岡県,553,259,4,816,31,NA,2016-09-12
JP-23,愛知県,910,121,0,1031,39,NA,2016-09-12
JP-24,三重県,364,81,0,445,15,NA,2016-09-12
JP-25,滋賀県,126,86,0,212,13,NA,2016-09-12
JP-26,京都府,323,289,0,612,14,NA,2016-09-12
JP-27,大阪府,395,0,0,395,18,NA,2016-09-12
JP-28,兵庫県,575,271,0,846,26,NA,2016-09-12
JP-29,奈良県,68,74,0,142,18,NA,2016-09-12
JP-30,和歌山県,64,24,0,88,11,NA,2016-09-12
JP-31,鳥取県,85,50,0,135,11,NA,2016-09-12
JP-32,島根県,58,12,2,72,9,NA,2016-09-12
JP-33,岡山県,697,327,0,1024,18,NA,2016-09-12
JP-34,広島県,183,188,1,372,14,NA,2016-09-12
JP-35,山口県,74,33,0,107,10,NA,2016-09-12
JP-36,徳島県,22,12,0,34,9,NA,2016-09-12
JP-37,香川県,60,16,0,76,8,NA,2016-09-12
JP-38,愛媛県,39,136,2,177,11,NA,2016-09-12
JP-39,高知県,18,41,0,59,10,NA,2016-09-12
JP-40,福岡県,532,146,0,678,39,NA,2016-09-12
JP-41,佐賀県,110,37,0,147,8,NA,2016-09-12
JP-42,長崎県,83,34,0,117,9,NA,2016-09-12
JP-43,熊本県,263,94,0,357,18,NA,2016-09-12
JP-44,大分県,158,14,1,173,14,NA,2016-09-12
JP-45,宮崎県,176,62,1,239,12,NA,2016-09-12
JP-46,鹿児島県,107,63,1,171,22,NA,2016-09-12
JP-47,沖縄県,584,23,4,611,31,NA,2016-09-12
