都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1626,506,3,2135,80,NA,2016-01-14
JP-02,青森県,198,295,4,497,20,NA,2016-01-14
JP-03,岩手県,22222,455,5,22682,29,※1,2016-01-14
JP-04,宮城県,47493,1180,5,48678,34,※1,2016-01-14
JP-05,秋田県,420,425,0,845,20,NA,2016-01-14
JP-06,山形県,2806,654,35,3495,30,NA,2016-01-14
JP-07,福島県,54083,2255,NA,56338,46,※2 ※1,2016-01-14
JP-08,茨城県,2671,1208,37,3916,41,NA,2016-01-14
JP-09,栃木県,2104,736,78,2918,25,NA,2016-01-14
JP-10,群馬県,821,299,106,1226,26,NA,2016-01-14
JP-11,埼玉県,3398,1669,35,5102,57,NA,2016-01-14
JP-12,千葉県,1799,1323,32,3154,44,NA,2016-01-14
JP-13,東京都,5196,1742,35,6973,55,NA,2016-01-14
JP-14,神奈川県,1627,2099,0,3726,32,※1,2016-01-14
JP-15,新潟県,3467,146,48,3661,28,NA,2016-01-14
JP-16,富山県,119,86,0,205,8,NA,2016-01-14
JP-17,石川県,234,54,4,292,10,NA,2016-01-14
JP-18,福井県,200,35,0,235,12,NA,2016-01-14
JP-19,山梨県,571,115,1,687,21,NA,2016-01-14
JP-20,長野県,756,189,0,945,40,NA,2016-01-14
JP-21,岐阜県,175,91,0,266,23,NA,2016-01-14
JP-22,静岡県,571,261,4,836,31,NA,2016-01-14
JP-23,愛知県,940,131,0,1071,41,NA,2016-01-14
JP-24,三重県,361,74,0,435,15,NA,2016-01-14
JP-25,滋賀県,129,81,0,210,14,NA,2016-01-14
JP-26,京都府,407,307,0,714,14,NA,2016-01-14
JP-27,大阪府,514,185,0,699,30,NA,2016-01-14
JP-28,兵庫県,596,265,0,861,26,NA,2016-01-14
JP-29,奈良県,75,76,0,151,17,NA,2016-01-14
JP-30,和歌山県,59,26,0,85,12,NA,2016-01-14
JP-31,鳥取県,96,50,0,146,12,NA,2016-01-14
JP-32,島根県,70,17,4,91,10,NA,2016-01-14
JP-33,岡山県,745,338,0,1083,18,NA,2016-01-14
JP-34,広島県,193,190,1,384,14,NA,2016-01-14
JP-35,山口県,78,31,0,109,10,NA,2016-01-14
JP-36,徳島県,30,13,0,43,11,NA,2016-01-14
JP-37,香川県,67,14,0,81,7,NA,2016-01-14
JP-38,愛媛県,39,136,2,177,11,NA,2016-01-14
JP-39,高知県,36,44,0,80,12,NA,2016-01-14
JP-40,福岡県,539,148,0,687,39,NA,2016-01-14
JP-41,佐賀県,112,37,0,149,9,NA,2016-01-14
JP-42,長崎県,87,33,0,120,9,NA,2016-01-14
JP-43,熊本県,263,94,0,357,18,NA,2016-01-14
JP-44,大分県,167,28,1,196,15,NA,2016-01-14
JP-45,宮崎県,166,62,0,228,11,NA,2016-01-14
JP-46,鹿児島県,120,66,1,187,22,NA,2016-01-14
JP-47,沖縄県,677,28,5,710,31,NA,2016-01-14
