都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1998,495,2,2495,78,NA,2015-07-16
JP-02,青森県,210,298,5,513,21,NA,2015-07-16
JP-03,岩手県,25849,381,5,26235,29,※1,2015-07-16
JP-04,宮城県,58055,1193,5,59253,35,※1,2015-07-16
JP-05,秋田県,456,433,0,889,20,NA,2015-07-16
JP-06,山形県,3209,621,37,3867,30,NA,2015-07-16
JP-07,福島県,61604,2384,NA,63988,46,※2 ※1,2015-07-16
JP-08,茨城県,2815,1081,40,3936,42,NA,2015-07-16
JP-09,栃木県,2118,731,81,2930,25,NA,2015-07-16
JP-10,群馬県,883,286,111,1280,25,NA,2015-07-16
JP-11,埼玉県,3651,1754,32,5437,58,NA,2015-07-16
JP-12,千葉県,1878,1617,35,3530,44,NA,2015-07-16
JP-13,東京都,5517,1793,31,7341,55,NA,2015-07-16
JP-14,神奈川県,1769,2105,0,3874,32,※1,2015-07-16
JP-15,新潟県,3591,156,53,3800,28,NA,2015-07-16
JP-16,富山県,123,92,0,215,8,NA,2015-07-16
JP-17,石川県,240,52,4,296,10,NA,2015-07-16
JP-18,福井県,204,40,0,244,12,NA,2015-07-16
JP-19,山梨県,576,113,1,690,21,NA,2015-07-16
JP-20,長野県,832,182,0,1014,42,NA,2015-07-16
JP-21,岐阜県,184,86,0,270,23,NA,2015-07-16
JP-22,静岡県,619,274,5,898,31,NA,2015-07-16
JP-23,愛知県,972,139,0,1111,42,NA,2015-07-16
JP-24,三重県,369,75,0,444,15,NA,2015-07-16
JP-25,滋賀県,140,70,0,210,14,NA,2015-07-16
JP-26,京都府,434,297,0,731,14,NA,2015-07-16
JP-27,大阪府,578,185,0,763,30,NA,2015-07-16
JP-28,兵庫県,605,266,0,871,26,NA,2015-07-16
JP-29,奈良県,76,77,0,153,17,NA,2015-07-16
JP-30,和歌山県,62,32,0,94,12,NA,2015-07-16
JP-31,鳥取県,103,51,0,154,12,NA,2015-07-16
JP-32,島根県,73,19,4,96,11,NA,2015-07-16
JP-33,岡山県,769,370,0,1139,18,NA,2015-07-16
JP-34,広島県,223,196,1,420,15,NA,2015-07-16
JP-35,山口県,85,32,0,117,10,NA,2015-07-16
JP-36,徳島県,36,30,0,66,12,NA,2015-07-16
JP-37,香川県,67,16,0,83,7,NA,2015-07-16
JP-38,愛媛県,42,136,2,180,11,NA,2015-07-16
JP-39,高知県,43,41,0,84,12,NA,2015-07-16
JP-40,福岡県,550,148,0,698,38,NA,2015-07-16
JP-41,佐賀県,123,37,0,160,9,NA,2015-07-16
JP-42,長崎県,87,34,0,121,9,NA,2015-07-16
JP-43,熊本県,267,94,0,361,18,NA,2015-07-16
JP-44,大分県,183,29,1,213,15,NA,2015-07-16
JP-45,宮崎県,176,56,0,232,11,NA,2015-07-16
JP-46,鹿児島県,120,67,3,190,23,NA,2015-07-16
JP-47,沖縄県,712,30,5,747,31,NA,2015-07-16
