都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1613,509,3,2125,80,NA,2016-02-12
JP-02,青森県,195,296,4,495,20,NA,2016-02-12
JP-03,岩手県,21656,470,5,22131,29,※1,2016-02-12
JP-04,宮城県,45921,1180,5,47106,34,※1,2016-02-12
JP-05,秋田県,419,424,0,843,20,NA,2016-02-12
JP-06,山形県,2789,656,33,3478,30,NA,2016-02-12
JP-07,福島県,53073,2248,NA,55321,46,※2 ※1,2016-02-12
JP-08,茨城県,2622,1226,35,3883,40,NA,2016-02-12
JP-09,栃木県,2108,738,78,2924,25,NA,2016-02-12
JP-10,群馬県,818,300,106,1224,26,NA,2016-02-12
JP-11,埼玉県,3384,1682,36,5102,57,NA,2016-02-12
JP-12,千葉県,1823,1315,32,3170,44,NA,2016-02-12
JP-13,東京都,5144,1697,35,6876,55,NA,2016-02-12
JP-14,神奈川県,1600,2087,0,3687,32,※1,2016-02-12
JP-15,新潟県,3464,146,48,3658,28,NA,2016-02-12
JP-16,富山県,116,66,0,182,8,NA,2016-02-12
JP-17,石川県,242,48,4,294,11,NA,2016-02-12
JP-18,福井県,200,35,0,235,12,NA,2016-02-12
JP-19,山梨県,569,117,1,687,21,NA,2016-02-12
JP-20,長野県,746,191,0,937,40,NA,2016-02-12
JP-21,岐阜県,166,91,0,257,23,NA,2016-02-12
JP-22,静岡県,568,261,4,833,31,NA,2016-02-12
JP-23,愛知県,937,128,0,1065,41,NA,2016-02-12
JP-24,三重県,362,68,0,430,15,NA,2016-02-12
JP-25,滋賀県,128,81,0,209,14,NA,2016-02-12
JP-26,京都府,402,295,0,697,14,NA,2016-02-12
JP-27,大阪府,514,185,0,699,30,NA,2016-02-12
JP-28,兵庫県,589,267,0,856,26,NA,2016-02-12
JP-29,奈良県,75,76,0,151,17,NA,2016-02-12
JP-30,和歌山県,59,26,0,85,12,NA,2016-02-12
JP-31,鳥取県,96,50,0,146,12,NA,2016-02-12
JP-32,島根県,70,17,4,91,10,NA,2016-02-12
JP-33,岡山県,748,343,0,1091,18,NA,2016-02-12
JP-34,広島県,196,190,1,387,14,NA,2016-02-12
JP-35,山口県,78,30,0,108,10,NA,2016-02-12
JP-36,徳島県,30,13,0,43,11,NA,2016-02-12
JP-37,香川県,67,14,0,81,7,NA,2016-02-12
JP-38,愛媛県,39,136,2,177,11,NA,2016-02-12
JP-39,高知県,37,44,0,81,12,NA,2016-02-12
JP-40,福岡県,539,148,0,687,39,NA,2016-02-12
JP-41,佐賀県,112,36,0,148,8,NA,2016-02-12
JP-42,長崎県,85,34,0,119,9,NA,2016-02-12
JP-43,熊本県,263,94,0,357,18,NA,2016-02-12
JP-44,大分県,169,24,1,194,15,NA,2016-02-12
JP-45,宮崎県,166,62,0,228,11,NA,2016-02-12
JP-46,鹿児島県,120,65,1,186,22,NA,2016-02-12
JP-47,沖縄県,674,28,5,707,31,NA,2016-02-12
