都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,22,1010,2188,3220,105,NA,2011-08-25
JP-02,青森県,0,9,791,409,1209,34,NA,2011-08-25
JP-03,岩手県,105,16,3232,880,4233,27,NA,2011-08-25
JP-04,宮城県,4744,1294,NA,NA,6038,16,NA,2011-08-25
JP-05,秋田県,6,1037,887,601,2531,22,NA,2011-08-25
JP-06,山形県,118,508,774,10013,11413,35,NA,2011-08-25
JP-07,福島県,780,5903,NA,NA,6683,30,NA,2011-08-25
JP-08,茨城県,36,128,594,1719,2477,40,NA,2011-08-25
JP-09,栃木県,2,241,984,1545,2772,25,NA,2011-08-25
JP-10,群馬県,0,282,353,1566,2201,32,NA,2011-08-25
JP-11,埼玉県,869,15,0,3668,4552,56,NA,2011-08-25
JP-12,千葉県,NA,NA,3618,NA,3618,48,NA,2011-08-25
JP-13,東京都,17,337,2319,5882,8555,50,NA,2011-08-25
JP-14,神奈川県,8,0,0,1490,1498,2,※,2011-08-25
JP-15,新潟県,113,660,1386,4382,6541,31,※,2011-08-25
JP-16,富山県,0,0,108,393,501,13,NA,2011-08-25
JP-17,石川県,0,2,155,392,549,13,NA,2011-08-25
JP-18,福井県,0,16,110,381,507,16,NA,2011-08-25
JP-19,山梨県,0,25,341,534,900,22,NA,2011-08-25
JP-20,長野県,21,43,266,888,1218,50,NA,2011-08-25
JP-21,岐阜県,0,0,181,209,390,28,NA,2011-08-25
JP-22,静岡県,0,243,411,809,1463,33,NA,2011-08-25
JP-23,愛知県,0,0,253,1020,1273,45,NA,2011-08-25
JP-24,三重県,0,0,43,156,199,13,NA,2011-08-25
JP-25,滋賀県,0,0,277,144,421,16,NA,2011-08-25
JP-26,京都府,0,NA,48,749,797,13,NA,2011-08-25
JP-27,大阪府,NA,NA,NA,1060,1060,27,NA,2011-08-25
JP-28,兵庫県,0,0,428,612,1040,27,NA,2011-08-25
JP-29,奈良県,0,0,63,83,146,14,NA,2011-08-25
JP-30,和歌山県,0,0,52,52,104,13,NA,2011-08-25
JP-31,鳥取県,0,0,69,97,166,14,NA,2011-08-25
JP-32,島根県,0,0,26,130,156,10,NA,2011-08-25
JP-33,岡山県,0,0,172,246,418,17,NA,2011-08-25
JP-34,広島県,0,0,154,295,449,15,NA,2011-08-25
JP-35,山口県,0,0,108,95,203,13,NA,2011-08-25
JP-36,徳島県,0,0,53,79,132,12,NA,2011-08-25
JP-37,香川県,0,0,21,57,78,7,NA,2011-08-25
JP-38,愛媛県,0,0,154,104,258,11,NA,2011-08-25
JP-39,高知県,0,0,79,54,133,16,NA,2011-08-25
JP-40,福岡県,0,4,216,440,660,36,NA,2011-08-25
JP-41,佐賀県,0,0,79,242,321,13,NA,2011-08-25
JP-42,長崎県,0,0,72,107,179,16,NA,2011-08-25
JP-43,熊本県,0,0,98,131,229,25,NA,2011-08-25
JP-44,大分県,0,0,137,240,377,16,NA,2011-08-25
JP-45,宮崎県,0,0,83,86,169,11,NA,2011-08-25
JP-46,鹿児島県,0,0,126,146,272,25,NA,2011-08-25
JP-47,沖縄県,0,29,76,531,636,21,NA,2011-08-25
