都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,18,1030,2042,3090,105,NA,2011-08-11
JP-02,青森県,0,9,792,391,1192,33,NA,2011-08-11
JP-03,岩手県,651,54,3516,871-,5092,26,NA,2011-08-11
JP-04,宮城県,5713,1648,NA,NA,7361,19,NA,2011-08-11
JP-05,秋田県,6,594,775,507,1882,21,NA,2011-08-11
JP-06,山形県,122,635,759,9374,10890,35,NA,2011-08-11
JP-07,福島県,1015,8062,NA,NA,9077,33,NA,2011-08-11
JP-08,茨城県,41,128,637,1674,2480,40,NA,2011-08-11
JP-09,栃木県,20,318,935,1526,2799,25,NA,2011-08-11
JP-10,群馬県,0,322,343,1546,2211,31,NA,2011-08-11
JP-11,埼玉県,882,37,0,1609,2528,37,NA,2011-08-11
JP-12,千葉県,NA,NA,3591,NA,3591,47,NA,2011-08-11
JP-13,東京都,10,191,2329,4714,7244,50,NA,2011-08-11
JP-14,神奈川県,7,0,0,1506,1513,2,※,2011-08-11
JP-15,新潟県,158,1123,1330,4154,6765,31,※,2011-08-11
JP-16,富山県,0,0,108,400,508,13,NA,2011-08-11
JP-17,石川県,0,6,153,392,551,13,NA,2011-08-11
JP-18,福井県,0,14,110,379,503,16,NA,2011-08-11
JP-19,山梨県,0,35,351,509,895,22,NA,2011-08-11
JP-20,長野県,21,29,271,919,1240,51,NA,2011-08-11
JP-21,岐阜県,0,0,179,208,387,29,NA,2011-08-11
JP-22,静岡県,0,295,418,792,1505,33,NA,2011-08-11
JP-23,愛知県,0,0,255,1032,1287,45,NA,2011-08-11
JP-24,三重県,0,0,43,156,199,13,NA,2011-08-11
JP-25,滋賀県,0,0,271,150,421,16,NA,2011-08-11
JP-26,京都府,0,NA,48,752,800,13,NA,2011-08-11
JP-27,大阪府,NA,NA,NA,1039,1039,26,NA,2011-08-11
JP-28,兵庫県,0,0,430,616,1046,27,NA,2011-08-11
JP-29,奈良県,0,0,63,82,145,14,NA,2011-08-11
JP-30,和歌山県,0,0,55,47,102,14,NA,2011-08-11
JP-31,鳥取県,0,0,80,87,167,16,NA,2011-08-11
JP-32,島根県,0,0,28,134,162,10,NA,2011-08-11
JP-33,岡山県,0,0,175,249,424,18,NA,2011-08-11
JP-34,広島県,0,0,145,284,429,14,NA,2011-08-11
JP-35,山口県,0,0,112,91,203,13,NA,2011-08-11
JP-36,徳島県,0,0,51,77,128,12,NA,2011-08-11
JP-37,香川県,0,0,19,57,76,9,NA,2011-08-11
JP-38,愛媛県,0,0,156,104,260,11,NA,2011-08-11
JP-39,高知県,0,0,78,57,135,16,NA,2011-08-11
JP-40,福岡県,0,0,212,412,624,36,NA,2011-08-11
JP-41,佐賀県,0,0,82,231,313,13,NA,2011-08-11
JP-42,長崎県,0,0,67,104,171,16,NA,2011-08-11
JP-43,熊本県,0,0,97,135,232,26,NA,2011-08-11
JP-44,大分県,0,0,143,233,376,16,NA,2011-08-11
JP-45,宮崎県,0,0,81,78,159,11,NA,2011-08-11
JP-46,鹿児島県,0,0,122,143,265,24,NA,2011-08-11
JP-47,沖縄県,0,66,74,492,632,24,NA,2011-08-11
