都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2102,533,1,2636,85,NA,2014-05-15
JP-02,青森県,269,359,9,637,22,NA,2014-05-15
JP-03,岩手県,33473,353,5,33831,29,※1,2014-05-15
JP-04,宮城県,84318,1085,5,85408,35,※1,2014-05-15
JP-05,秋田県,611,447,0,1058,20,NA,2014-05-15
JP-06,山形県,4804,558,79,5441,30,NA,2014-05-15
JP-07,福島県,81452,3219,NA,84671,46,※2 ※1,2014-05-15
JP-08,茨城県,3821,680,43,4544,42,NA,2014-05-15
JP-09,栃木県,2252,642,105,2999,25,NA,2014-05-15
JP-10,群馬県,1083,255,128,1466,25,NA,2014-05-15
JP-11,埼玉県,2675,0,0,2675,54,NA,2014-05-15
JP-12,千葉県,556,3378,1,3935,45,NA,2014-05-15
JP-13,東京都,6053,1774,32,7859,55,NA,2014-05-15
JP-14,神奈川県,2270,0,0,2270,24,※1,2014-05-15
JP-15,新潟県,4194,189,60,4443,28,NA,2014-05-15
JP-16,富山県,187,60,3,250,10,NA,2014-05-15
JP-17,石川県,311,53,4,368,11,NA,2014-05-15
JP-18,福井県,210,45,0,255,13,NA,2014-05-15
JP-19,山梨県,618,98,1,717,22,NA,2014-05-15
JP-20,長野県,952,153,0,1105,42,NA,2014-05-15
JP-21,岐阜県,203,109,0,312,25,NA,2014-05-15
JP-22,静岡県,736,279,5,1020,30,NA,2014-05-15
JP-23,愛知県,1020,162,0,1182,43,NA,2014-05-15
JP-24,三重県,386,95,0,481,15,NA,2014-05-15
JP-25,滋賀県,150,87,0,237,12,NA,2014-05-15
JP-26,京都府,584,337,0,921,16,NA,2014-05-15
JP-27,大阪府,704,185,0,889,30,NA,2014-05-15
JP-28,兵庫県,645,281,0,926,26,NA,2014-05-15
JP-29,奈良県,75,89,0,164,16,NA,2014-05-15
JP-30,和歌山県,59,35,0,94,12,NA,2014-05-15
JP-31,鳥取県,121,52,0,173,12,NA,2014-05-15
JP-32,島根県,68,23,3,94,11,NA,2014-05-15
JP-33,岡山県,757,346,0,1103,19,NA,2014-05-15
JP-34,広島県,270,194,1,465,15,NA,2014-05-15
JP-35,山口県,103,41,0,144,12,NA,2014-05-15
JP-36,徳島県,36,31,0,67,12,NA,2014-05-15
JP-37,香川県,79,13,0,92,7,NA,2014-05-15
JP-38,愛媛県,44,139,2,185,11,NA,2014-05-15
JP-39,高知県,58,47,0,105,12,NA,2014-05-15
JP-40,福岡県,559,135,0,694,37,NA,2014-05-15
JP-41,佐賀県,156,24,0,180,9,NA,2014-05-15
JP-42,長崎県,100,35,0,135,10,NA,2014-05-15
JP-43,熊本県,276,84,0,360,18,NA,2014-05-15
JP-44,大分県,197,40,1,238,15,NA,2014-05-15
JP-45,宮崎県,173,64,0,237,11,NA,2014-05-15
JP-46,鹿児島県,144,73,1,218,24,NA,2014-05-15
JP-47,沖縄県,880,50,5,935,29,NA,2014-05-15
