都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,523,2251,2774,89,NA,2013-11-14
JP-02,青森県,0,0,423,384,807,23,NA,2013-11-14
JP-03,岩手県,0,0,345,36003,36348,29,※1,2013-11-14
JP-04,宮城県,0,0,1077,92598,93675,35,※1,2013-11-14
JP-05,秋田県,0,0,469,648,1117,20,NA,2013-11-14
JP-06,山形県,0,0,564,5954,6518,33,NA,2013-11-14
JP-07,福島県,0,0,NA,88654,88654,47,※1,2013-11-14
JP-08,茨城県,0,0,578,4430,5008,42,NA,2013-11-14
JP-09,栃木県,0,0,576,2464,3040,25,NA,2013-11-14
JP-10,群馬県,0,0,237,1349,1586,27,NA,2013-11-14
JP-11,埼玉県,15,0,0,3077,3092,56,NA,2013-11-14
JP-12,千葉県,0,0,3456,570,4026,45,NA,2013-11-14
JP-13,東京都,0,0,2023,6332,8355,56,NA,2013-11-14
JP-14,神奈川県,0,0,0,2450,2450,24,※1,2013-11-14
JP-15,新潟県,0,0,245,4653,4898,28,※1,2013-11-14
JP-16,富山県,0,0,63,224,287,10,NA,2013-11-14
JP-17,石川県,0,0,64,347,411,11,NA,2013-11-14
JP-18,福井県,0,0,47,225,272,14,NA,2013-11-14
JP-19,山梨県,0,0,147,649,796,21,NA,2013-11-14
JP-20,長野県,0,0,145,1042,1187,42,NA,2013-11-14
JP-21,岐阜県,0,0,110,197,307,25,NA,2013-11-14
JP-22,静岡県,0,0,290,809,1099,32,NA,2013-11-14
JP-23,愛知県,0,0,192,1037,1229,45,NA,2013-11-14
JP-24,三重県,0,0,93,395,488,15,NA,2013-11-14
JP-25,滋賀県,0,0,208,106,314,14,NA,2013-11-14
JP-26,京都府,0,0,315,651,966,16,NA,2013-11-14
JP-27,大阪府,0,0,185,821,1006,30,NA,2013-11-14
JP-28,兵庫県,0,0,267,682,949,26,NA,2013-11-14
JP-29,奈良県,0,0,91,77,168,18,NA,2013-11-14
JP-30,和歌山県,0,0,37,64,101,12,NA,2013-11-14
JP-31,鳥取県,0,0,50,134,184,12,NA,2013-11-14
JP-32,島根県,0,0,24,102,126,13,NA,2013-11-14
JP-33,岡山県,0,0,306,707,1013,19,NA,2013-11-14
JP-34,広島県,0,0,198,309,507,15,NA,2013-11-14
JP-35,山口県,0,0,44,108,152,13,NA,2013-11-14
JP-36,徳島県,0,0,31,43,74,12,NA,2013-11-14
JP-37,香川県,0,0,13,86,99,7,NA,2013-11-14
JP-38,愛媛県,0,0,139,46,185,11,NA,2013-11-14
JP-39,高知県,0,0,63,61,124,15,NA,2013-11-14
JP-40,福岡県,0,0,137,581,718,37,NA,2013-11-14
JP-41,佐賀県,0,0,24,192,216,9,NA,2013-11-14
JP-42,長崎県,0,0,53,92,145,10,NA,2013-11-14
JP-43,熊本県,0,0,107,291,398,20,NA,2013-11-14
JP-44,大分県,0,0,46,215,261,15,NA,2013-11-14
JP-45,宮崎県,0,0,78,184,262,11,NA,2013-11-14
JP-46,鹿児島県,0,0,75,157,232,26,NA,2013-11-14
JP-47,沖縄県,0,0,53,932,985,30,NA,2013-11-14
