都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,600,2432,3032,100,NA,2012-05-10
JP-02,青森県,0,0,615,776,1391,26,NA,2012-05-10
JP-03,岩手県,0,0,791,40333,41124,28,※1,2012-05-10
JP-04,宮城県,0,0,922,126537,127459,34,※1,2012-05-10
JP-05,秋田県,0,0,560,882,1442,20,NA,2012-05-10
JP-06,山形県,0,0,695,12607,13302,34,NA,2012-05-10
JP-07,福島県,0,0,NA,98021,98021,47,※1,2012-05-10
JP-08,茨城県,0,0,590,5505,6095,42,NA,2012-05-10
JP-09,栃木県,0,0,868,2154,3022,25,NA,2012-05-10
JP-10,群馬県,0,0,260,1711,1971,27,NA,2012-05-10
JP-11,埼玉県,254,0,0,4285,4539,57,NA,2012-05-10
JP-12,千葉県,0,NA,3813,NA,3813,47,NA,2012-05-10
JP-13,東京都,0,0,2425,7068,9493,55,NA,2012-05-10
JP-14,神奈川県,0,0,0,2834,2834,1,※1,2012-05-10
JP-15,新潟県,0,0,368,6467,6835,30,※1,2012-05-10
JP-16,富山県,0,0,77,275,352,10,NA,2012-05-10
JP-17,石川県,0,0,114,386,500,12,NA,2012-05-10
JP-18,福井県,0,0,73,358,431,16,NA,2012-05-10
JP-19,山梨県,0,1,263,592,856,21,NA,2012-05-10
JP-20,長野県,0,0,141,1208,1349,47,NA,2012-05-10
JP-21,岐阜県,0,0,193,207,400,29,NA,2012-05-10
JP-22,静岡県,0,0,417,983,1400,32,NA,2012-05-10
JP-23,愛知県,0,0,245,1009,1254,47,NA,2012-05-10
JP-24,三重県,0,0,83,330,413,13,NA,2012-05-10
JP-25,滋賀県,0,0,250,133,383,16,NA,2012-05-10
JP-26,京都府,0,NA,256,803,1059,18,NA,2012-05-10
JP-27,大阪府,0,0,298,1007,1305,31,NA,2012-05-10
JP-28,兵庫県,0,0,364,668,1032,27,NA,2012-05-10
JP-29,奈良県,0,0,66,101,167,18,NA,2012-05-10
JP-30,和歌山県,0,0,39,91,130,14,NA,2012-05-10
JP-31,鳥取県,0,0,60,141,201,14,NA,2012-05-10
JP-32,島根県,0,0,23,119,142,12,NA,2012-05-10
JP-33,岡山県,0,0,237,550,787,19,NA,2012-05-10
JP-34,広島県,0,0,177,375,552,16,NA,2012-05-10
JP-35,山口県,0,0,78,117,195,13,NA,2012-05-10
JP-36,徳島県,0,0,37,63,100,12,NA,2012-05-10
JP-37,香川県,0,0,35,80,115,9,NA,2012-05-10
JP-38,愛媛県,0,0,150,60,210,13,NA,2012-05-10
JP-39,高知県,0,0,81,62,143,14,NA,2012-05-10
JP-40,福岡県,0,0,178,585,763,39,NA,2012-05-10
JP-41,佐賀県,0,0,45,250,295,11,NA,2012-05-10
JP-42,長崎県,0,0,62,104,166,13,NA,2012-05-10
JP-43,熊本県,0,0,115,198,313,23,NA,2012-05-10
JP-44,大分県,0,0,82,268,350,15,NA,2012-05-10
JP-45,宮崎県,0,0,95,164,259,12,NA,2012-05-10
JP-46,鹿児島県,0,0,100,165,265,26,NA,2012-05-10
JP-47,沖縄県,0,7,89,879,975,26,NA,2012-05-10
