都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2096,530,1,2627,83,NA,2014-06-12
JP-02,青森県,267,351,9,627,22,NA,2014-06-12
JP-03,岩手県,32861,355,5,33221,29,※1,2014-06-12
JP-04,宮城県,80799,1119,5,81923,35,※1,2014-06-12
JP-05,秋田県,594,448,0,1042,20,NA,2014-06-12
JP-06,山形県,4625,572,79,5276,31,NA,2014-06-12
JP-07,福島県,79792,2865,NA,82657,46,※2 ※1,2014-06-12
JP-08,茨城県,3746,684,41,4471,42,NA,2014-06-12
JP-09,栃木県,2240,647,104,2991,25,NA,2014-06-12
JP-10,群馬県,1036,262,127,1425,25,NA,2014-06-12
JP-11,埼玉県,2640,0,0,2640,54,NA,2014-06-12
JP-12,千葉県,558,3365,1,3924,45,NA,2014-06-12
JP-13,東京都,6253,1514,31,7798,55,NA,2014-06-12
JP-14,神奈川県,2204,0,0,2204,24,※1,2014-06-12
JP-15,新潟県,4097,184,61,4342,28,NA,2014-06-12
JP-16,富山県,187,60,3,250,10,NA,2014-06-12
JP-17,石川県,306,53,4,363,11,NA,2014-06-12
JP-18,福井県,210,45,0,255,13,NA,2014-06-12
JP-19,山梨県,604,108,1,713,22,NA,2014-06-12
JP-20,長野県,941,158,0,1099,42,NA,2014-06-12
JP-21,岐阜県,209,107,0,316,25,NA,2014-06-12
JP-22,静岡県,739,272,5,1016,30,NA,2014-06-12
JP-23,愛知県,1019,162,0,1181,43,NA,2014-06-12
JP-24,三重県,381,94,0,475,15,NA,2014-06-12
JP-25,滋賀県,146,87,0,233,12,NA,2014-06-12
JP-26,京都府,548,327,0,875,16,NA,2014-06-12
JP-27,大阪府,698,185,0,883,30,NA,2014-06-12
JP-28,兵庫県,640,277,0,917,26,NA,2014-06-12
JP-29,奈良県,75,89,0,164,16,NA,2014-06-12
JP-30,和歌山県,59,35,0,94,12,NA,2014-06-12
JP-31,鳥取県,123,53,0,176,12,NA,2014-06-12
JP-32,島根県,68,23,3,94,11,NA,2014-06-12
JP-33,岡山県,751,362,0,1113,19,NA,2014-06-12
JP-34,広島県,271,200,1,472,15,NA,2014-06-12
JP-35,山口県,97,41,0,138,11,NA,2014-06-12
JP-36,徳島県,36,31,0,67,12,NA,2014-06-12
JP-37,香川県,79,13,0,92,7,NA,2014-06-12
JP-38,愛媛県,44,139,2,185,11,NA,2014-06-12
JP-39,高知県,58,47,0,105,12,NA,2014-06-12
JP-40,福岡県,553,135,0,688,37,NA,2014-06-12
JP-41,佐賀県,156,24,0,180,9,NA,2014-06-12
JP-42,長崎県,100,35,0,135,10,NA,2014-06-12
JP-43,熊本県,276,87,0,363,18,NA,2014-06-12
JP-44,大分県,194,40,1,235,15,NA,2014-06-12
JP-45,宮崎県,173,63,0,236,11,NA,2014-06-12
JP-46,鹿児島県,144,73,1,218,24,NA,2014-06-12
JP-47,沖縄県,865,50,5,920,30,NA,2014-06-12
