都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1486,481,6,1973,78,NA,2016-12-09
JP-02,青森県,173,227,4,404,19,NA,2016-12-09
JP-03,岩手県,15313,522,2,15837,27,※1,2016-12-09
JP-04,宮城県,25333,1241,6,26580,34,※1,2016-12-09
JP-05,秋田県,342,372,0,714,19,NA,2016-12-09
JP-06,山形県,2186,739,27,2952,30,NA,2016-12-09
JP-07,福島県,40254,2234,NA,42488,47,※2 ※1,2016-12-09
JP-08,茨城県,2349,1409,31,3789,40,NA,2016-12-09
JP-09,栃木県,2120,745,51,2916,25,NA,2016-12-09
JP-10,群馬県,694,290,14,998,26,NA,2016-12-09
JP-11,埼玉県,2700,1767,41,4508,57,NA,2016-12-09
JP-12,千葉県,1669,1349,27,3045,43,NA,2016-12-09
JP-13,東京都,4734,1587,39,6360,52,NA,2016-12-09
JP-14,神奈川県,1406,2087,0,3493,32,NA,2016-12-09
JP-15,新潟県,3096,141,31,3268,26,NA,2016-12-09
JP-16,富山県,108,64,0,172,8,NA,2016-12-09
JP-17,石川県,210,48,4,262,12,NA,2016-12-09
JP-18,福井県,170,26,0,196,10,NA,2016-12-09
JP-19,山梨県,557,117,1,675,21,NA,2016-12-09
JP-20,長野県,682,196,0,878,39,NA,2016-12-09
JP-21,岐阜県,159,79,0,238,21,NA,2016-12-09
JP-22,静岡県,551,257,4,812,31,NA,2016-12-09
JP-23,愛知県,894,120,0,1014,39,NA,2016-12-09
JP-24,三重県,361,81,0,442,15,NA,2016-12-09
JP-25,滋賀県,126,82,0,208,13,NA,2016-12-09
JP-26,京都府,303,295,0,598,14,NA,2016-12-09
JP-27,大阪府,355,0,0,355,17,NA,2016-12-09
JP-28,兵庫県,560,269,0,829,25,NA,2016-12-09
JP-29,奈良県,68,74,0,142,18,NA,2016-12-09
JP-30,和歌山県,59,24,0,83,11,NA,2016-12-09
JP-31,鳥取県,81,52,0,133,11,NA,2016-12-09
JP-32,島根県,58,12,2,72,9,NA,2016-12-09
JP-33,岡山県,691,327,0,1018,18,NA,2016-12-09
JP-34,広島県,180,185,1,366,14,NA,2016-12-09
JP-35,山口県,71,29,0,100,10,NA,2016-12-09
JP-36,徳島県,23,12,0,35,10,NA,2016-12-09
JP-37,香川県,60,16,0,76,8,NA,2016-12-09
JP-38,愛媛県,39,136,2,177,11,NA,2016-12-09
JP-39,高知県,17,42,0,59,10,NA,2016-12-09
JP-40,福岡県,530,154,0,684,37,NA,2016-12-09
JP-41,佐賀県,109,37,0,146,8,NA,2016-12-09
JP-42,長崎県,83,34,0,117,9,NA,2016-12-09
JP-43,熊本県,263,94,0,357,18,NA,2016-12-09
JP-44,大分県,149,14,0,163,14,NA,2016-12-09
JP-45,宮崎県,177,61,3,241,11,NA,2016-12-09
JP-46,鹿児島県,106,63,1,170,22,NA,2016-12-09
JP-47,沖縄県,566,25,6,597,31,NA,2016-12-09
