都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1573,476,6,2055,78,NA,2016-06-10
JP-02,青森県,184,234,4,422,20,NA,2016-06-10
JP-03,岩手県,19037,476,2,19515,29,※1,2016-06-10
JP-04,宮城県,37256,1180,5,38441,34,※1,2016-06-10
JP-05,秋田県,376,424,0,800,19,NA,2016-06-10
JP-06,山形県,2466,689,32,3187,29,NA,2016-06-10
JP-07,福島県,46893,2247,NA,49140,47,※2 ※1,2016-06-10
JP-08,茨城県,2460,1302,33,3795,41,NA,2016-06-10
JP-09,栃木県,2096,741,76,2913,25,NA,2016-06-10
JP-10,群馬県,731,296,17,1044,26,NA,2016-06-10
JP-11,埼玉県,3126,1696,38,4860,56,NA,2016-06-10
JP-12,千葉県,1765,1314,30,3109,44,NA,2016-06-10
JP-13,東京都,4996,1685,37,6718,55,NA,2016-06-10
JP-14,神奈川県,1476,2087,0,3563,32,※1,2016-06-10
JP-15,新潟県,3241,147,33,3421,26,NA,2016-06-10
JP-16,富山県,109,67,0,176,8,NA,2016-06-10
JP-17,石川県,223,48,4,275,11,NA,2016-06-10
JP-18,福井県,196,35,0,231,11,NA,2016-06-10
JP-19,山梨県,567,117,1,685,21,NA,2016-06-10
JP-20,長野県,701,196,0,897,39,NA,2016-06-10
JP-21,岐阜県,169,86,0,255,22,NA,2016-06-10
JP-22,静岡県,559,259,4,822,31,NA,2016-06-10
JP-23,愛知県,919,123,0,1042,40,NA,2016-06-10
JP-24,三重県,364,81,0,445,15,NA,2016-06-10
JP-25,滋賀県,128,83,0,211,13,※1,2016-06-10
JP-26,京都府,351,298,0,649,14,NA,2016-06-10
JP-27,大阪府,407,0,0,407,18,NA,2016-06-10
JP-28,兵庫県,580,270,0,850,26,NA,2016-06-10
JP-29,奈良県,70,76,0,146,17,NA,2016-06-10
JP-30,和歌山県,64,24,0,88,11,NA,2016-06-10
JP-31,鳥取県,87,50,0,137,11,NA,2016-06-10
JP-32,島根県,55,11,2,68,9,NA,2016-06-10
JP-33,岡山県,706,329,0,1035,18,NA,2016-06-10
JP-34,広島県,190,188,1,379,14,NA,2016-06-10
JP-35,山口県,77,33,0,110,10,NA,2016-06-10
JP-36,徳島県,23,13,0,36,9,NA,2016-06-10
JP-37,香川県,62,16,0,78,8,NA,2016-06-10
JP-38,愛媛県,39,136,2,177,11,※1,2016-06-10
JP-39,高知県,33,44,0,77,13,NA,2016-06-10
JP-40,福岡県,533,146,0,679,39,NA,2016-06-10
JP-41,佐賀県,111,37,0,148,8,NA,2016-06-10
JP-42,長崎県,83,34,0,117,9,※1,2016-06-10
JP-43,熊本県,263,94,0,357,18,※1,2016-06-10
JP-44,大分県,161,18,1,180,14,NA,2016-06-10
JP-45,宮崎県,176,64,1,241,12,NA,2016-06-10
JP-46,鹿児島県,110,63,1,174,22,NA,2016-06-10
JP-47,沖縄県,601,22,4,627,31,NA,2016-06-10
