都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2036,508,2,2546,80,NA,2015-05-14
JP-02,青森県,219,310,5,534,21,NA,2015-05-14
JP-03,岩手県,27013,373,5,27391,29,※1,2015-05-14
JP-04,宮城県,62773,1184,5,63962,34,※1,2015-05-14
JP-05,秋田県,474,427,0,901,20,NA,2015-05-14
JP-06,山形県,3329,612,41,3982,30,NA,2015-05-14
JP-07,福島県,64420,2584,NA,67004,46,※2 ※1,2015-05-14
JP-08,茨城県,3001,989,36,4026,42,NA,2015-05-14
JP-09,栃木県,2124,725,81,2930,25,NA,2015-05-14
JP-10,群馬県,892,284,122,1298,25,NA,2015-05-14
JP-11,埼玉県,3750,1698,32,5480,57,NA,2015-05-14
JP-12,千葉県,1920,1620,35,3575,44,NA,2015-05-14
JP-13,東京都,5569,1803,31,7403,55,NA,2015-05-14
JP-14,神奈川県,1805,2107,0,3912,32,※1,2015-05-14
JP-15,新潟県,3685,156,55,3896,28,NA,2015-05-14
JP-16,富山県,123,90,0,213,8,NA,2015-05-14
JP-17,石川県,241,52,4,297,10,NA,2015-05-14
JP-18,福井県,204,40,0,244,12,NA,2015-05-14
JP-19,山梨県,580,104,1,685,21,NA,2015-05-14
JP-20,長野県,852,176,0,1028,42,NA,2015-05-14
JP-21,岐阜県,193,77,0,270,23,NA,2015-05-14
JP-22,静岡県,651,251,5,907,31,NA,2015-05-14
JP-23,愛知県,978,142,0,1120,43,NA,2015-05-14
JP-24,三重県,356,92,0,448,15,NA,2015-05-14
JP-25,滋賀県,139,70,0,209,14,NA,2015-05-14
JP-26,京都府,450,296,0,746,15,NA,2015-05-14
JP-27,大阪府,604,185,0,789,30,NA,2015-05-14
JP-28,兵庫県,611,264,0,875,26,NA,2015-05-14
JP-29,奈良県,79,77,0,156,18,NA,2015-05-14
JP-30,和歌山県,62,32,0,94,12,NA,2015-05-14
JP-31,鳥取県,102,52,0,154,12,NA,2015-05-14
JP-32,島根県,70,19,4,93,11,NA,2015-05-14
JP-33,岡山県,767,363,0,1130,18,NA,2015-05-14
JP-34,広島県,229,189,1,419,15,NA,2015-05-14
JP-35,山口県,86,34,0,120,10,NA,2015-05-14
JP-36,徳島県,36,30,0,66,12,NA,2015-05-14
JP-37,香川県,67,16,0,83,7,NA,2015-05-14
JP-38,愛媛県,42,136,2,180,11,NA,2015-05-14
JP-39,高知県,43,41,0,84,12,NA,2015-05-14
JP-40,福岡県,550,146,0,696,39,NA,2015-05-14
JP-41,佐賀県,129,36,0,165,9,NA,2015-05-14
JP-42,長崎県,88,34,0,122,9,NA,2015-05-14
JP-43,熊本県,267,94,0,361,18,NA,2015-05-14
JP-44,大分県,195,28,1,224,15,NA,2015-05-14
JP-45,宮崎県,176,56,0,232,11,NA,2015-05-14
JP-46,鹿児島県,120,67,3,190,23,NA,2015-05-14
JP-47,沖縄県,698,33,5,736,31,NA,2015-05-14
