都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,559,2407,2966,91,NA,2013-01-17
JP-02,青森県,0,0,505,659,1164,24,NA,2013-01-17
JP-03,岩手県,0,0,338,40386,40724,27,※1,2013-01-17
JP-04,宮城県,0,0,1042,109018,110060,35,※1,2013-01-17
JP-05,秋田県,0,0,486,794,1280,20,NA,2013-01-17
JP-06,山形県,0,0,583,9604,10187,34,NA,2013-01-17
JP-07,福島県,0,0,NA,97271,97271,48,※1,2013-01-17
JP-08,茨城県,0,0,605,4801,5406,41,NA,2013-01-17
JP-09,栃木県,0,0,476,2632,3108,25,NA,2013-01-17
JP-10,群馬県,0,0,214,1604,1818,28,NA,2013-01-17
JP-11,埼玉県,146,0,0,3942,4088,56,NA,2013-01-17
JP-12,千葉県,0,NA,3951,NA,3951,46,NA,2013-01-17
JP-13,東京都,0,0,2214,6881,9095,55,NA,2013-01-17
JP-14,神奈川県,0,0,0,2772,2772,25,※1,2013-01-17
JP-15,新潟県,0,0,336,5670,6006,30,※1,2013-01-17
JP-16,富山県,0,0,73,252,325,10,NA,2013-01-17
JP-17,石川県,0,0,112,357,469,11,NA,2013-01-17
JP-18,福井県,0,0,69,259,328,16,NA,2013-01-17
JP-19,山梨県,0,0,167,662,829,21,NA,2013-01-17
JP-20,長野県,0,0,142,1147,1289,45,NA,2013-01-17
JP-21,岐阜県,0,0,133,206,339,28,NA,2013-01-17
JP-22,静岡県,0,0,345,882,1227,32,NA,2013-01-17
JP-23,愛知県,0,0,211,1034,1245,46,NA,2013-01-17
JP-24,三重県,0,0,103,408,511,17,NA,2013-01-17
JP-25,滋賀県,0,0,227,124,351,15,NA,2013-01-17
JP-26,京都府,0,0,268,744,1012,17,NA,2013-01-17
JP-27,大阪府,0,0,297,882,1179,31,NA,2013-01-17
JP-28,兵庫県,0,0,314,724,1038,28,NA,2013-01-17
JP-29,奈良県,0,0,90,97,187,18,NA,2013-01-17
JP-30,和歌山県,0,0,39,81,120,13,NA,2013-01-17
JP-31,鳥取県,0,0,53,150,203,13,NA,2013-01-17
JP-32,島根県,0,0,23,110,133,13,NA,2013-01-17
JP-33,岡山県,0,0,271,625,896,19,NA,2013-01-17
JP-34,広島県,0,0,208,371,579,16,NA,2013-01-17
JP-35,山口県,0,0,51,114,165,13,NA,2013-01-17
JP-36,徳島県,0,0,37,49,86,12,NA,2013-01-17
JP-37,香川県,0,0,13,90,103,8,NA,2013-01-17
JP-38,愛媛県,0,0,146,56,202,12,NA,2013-01-17
JP-39,高知県,0,0,72,69,141,15,NA,2013-01-17
JP-40,福岡県,0,0,164,591,755,37,NA,2013-01-17
JP-41,佐賀県,0,0,41,232,273,10,NA,2013-01-17
JP-42,長崎県,0,0,53,99,152,12,NA,2013-01-17
JP-43,熊本県,0,0,103,282,385,23,NA,2013-01-17
JP-44,大分県,0,0,71,277,348,16,NA,2013-01-17
JP-45,宮崎県,0,0,85,176,261,10,NA,2013-01-17
JP-46,鹿児島県,0,0,100,170,270,27,NA,2013-01-17
JP-47,沖縄県,0,0,76,980,1056,29,NA,2013-01-17
