都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,517,2281,2798,89,NA,2013-09-12
JP-02,青森県,0,0,438,387,825,23,NA,2013-09-12
JP-03,岩手県,0,0,336,37034,37370,29,※1,2013-09-12
JP-04,宮城県,0,0,1076,95254,96330,35,※1,2013-09-12
JP-05,秋田県,0,0,474,664,1138,20,NA,2013-09-12
JP-06,山形県,0,0,546,6779,7325,33,NA,2013-09-12
JP-07,福島県,0,0,NA,91392,91392,47,※1,2013-09-12
JP-08,茨城県,0,0,609,4514,5123,42,NA,2013-09-12
JP-09,栃木県,0,0,568,2512,3080,25,NA,2013-09-12
JP-10,群馬県,0,0,216,1387,1603,27,NA,2013-09-12
JP-11,埼玉県,99,0,0,3123,3222,56,NA,2013-09-12
JP-12,千葉県,0,NA,4031,NA,4031,45,NA,2013-09-12
JP-13,東京都,0,0,2213,6584,8797,56,NA,2013-09-12
JP-14,神奈川県,0,0,0,2502,2502,24,※1,2013-09-12
JP-15,新潟県,0,0,236,4786,5022,28,※1,2013-09-12
JP-16,富山県,0,0,63,225,288,10,NA,2013-09-12
JP-17,石川県,0,0,64,350,414,11,NA,2013-09-12
JP-18,福井県,0,0,49,228,277,14,NA,2013-09-12
JP-19,山梨県,0,0,151,648,799,21,NA,2013-09-12
JP-20,長野県,0,0,145,1061,1206,43,NA,2013-09-12
JP-21,岐阜県,0,0,115,198,313,26,NA,2013-09-12
JP-22,静岡県,0,0,288,796,1084,33,NA,2013-09-12
JP-23,愛知県,0,0,190,1040,1230,45,NA,2013-09-12
JP-24,三重県,0,0,95,402,497,15,NA,2013-09-12
JP-25,滋賀県,0,0,206,111,317,14,NA,2013-09-12
JP-26,京都府,0,0,305,654,959,16,NA,2013-09-12
JP-27,大阪府,0,0,297,826,1123,31,NA,2013-09-12
JP-28,兵庫県,0,0,274,683,957,26,NA,2013-09-12
JP-29,奈良県,0,0,91,79,170,18,NA,2013-09-12
JP-30,和歌山県,0,0,37,64,101,12,NA,2013-09-12
JP-31,鳥取県,0,0,50,133,183,12,NA,2013-09-12
JP-32,島根県,0,0,24,103,127,13,NA,2013-09-12
JP-33,岡山県,0,0,310,701,1011,19,NA,2013-09-12
JP-34,広島県,0,0,198,313,511,15,NA,2013-09-12
JP-35,山口県,0,0,43,105,148,13,NA,2013-09-12
JP-36,徳島県,0,0,31,42,73,12,NA,2013-09-12
JP-37,香川県,0,0,13,85,98,7,NA,2013-09-12
JP-38,愛媛県,0,0,142,43,185,11,NA,2013-09-12
JP-39,高知県,0,0,63,61,124,15,NA,2013-09-12
JP-40,福岡県,0,0,142,583,725,37,NA,2013-09-12
JP-41,佐賀県,0,0,24,196,220,9,NA,2013-09-12
JP-42,長崎県,0,0,53,91,144,10,NA,2013-09-12
JP-43,熊本県,0,0,107,291,398,20,NA,2013-09-12
JP-44,大分県,0,0,46,221,267,15,NA,2013-09-12
JP-45,宮崎県,0,0,88,183,271,11,NA,2013-09-12
JP-46,鹿児島県,0,0,79,160,239,27,NA,2013-09-12
JP-47,沖縄県,0,0,54,935,989,30,NA,2013-09-12
