都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2031,522,2,2555,82,NA,2015-03-12
JP-02,青森県,245,323,6,574,22,NA,2015-03-12
JP-03,岩手県,28589,356,5,28950,29,※1,2015-03-12
JP-04,宮城県,68388,1168,5,69561,35,※1,2015-03-12
JP-05,秋田県,549,447,0,996,20,NA,2015-03-12
JP-06,山形県,3675,631,40,4346,30,NA,2015-03-12
JP-07,福島県,68769,2630,NA,71399,46,※2 ※1,2015-03-12
JP-08,茨城県,3360,848,36,4244,42,NA,2015-03-12
JP-09,栃木県,2152,713,82,2947,25,NA,2015-03-12
JP-10,群馬県,945,274,128,1347,25,NA,2015-03-12
JP-11,埼玉県,3950,1594,31,5575,57,NA,2015-03-12
JP-12,千葉県,1882,1596,33,3511,46,NA,2015-03-12
JP-13,東京都,5622,1780,32,7434,55,NA,2015-03-12
JP-14,神奈川県,2018,2112,0,4130,32,※1,2015-03-12
JP-15,新潟県,3855,160,61,4076,28,NA,2015-03-12
JP-16,富山県,141,93,0,234,8,NA,2015-03-12
JP-17,石川県,252,52,4,308,10,NA,2015-03-12
JP-18,福井県,207,40,0,247,12,NA,2015-03-12
JP-19,山梨県,578,104,1,683,21,NA,2015-03-12
JP-20,長野県,879,176,0,1055,42,NA,2015-03-12
JP-21,岐阜県,203,102,0,305,25,NA,2015-03-12
JP-22,静岡県,654,251,5,910,31,NA,2015-03-12
JP-23,愛知県,988,149,0,1137,43,NA,2015-03-12
JP-24,三重県,363,102,0,465,15,NA,2015-03-12
JP-25,滋賀県,150,75,0,225,14,NA,2015-03-12
JP-26,京都府,478,330,0,808,15,NA,2015-03-12
JP-27,大阪府,644,185,0,829,30,NA,2015-03-12
JP-28,兵庫県,616,267,0,883,26,NA,2015-03-12
JP-29,奈良県,82,79,0,161,18,NA,2015-03-12
JP-30,和歌山県,62,32,0,94,12,NA,2015-03-12
JP-31,鳥取県,119,52,0,171,12,NA,2015-03-12
JP-32,島根県,67,19,4,90,11,NA,2015-03-12
JP-33,岡山県,758,362,0,1120,18,NA,2015-03-12
JP-34,広島県,249,187,1,437,15,NA,2015-03-12
JP-35,山口県,85,37,0,122,10,NA,2015-03-12
JP-36,徳島県,36,30,0,66,12,NA,2015-03-12
JP-37,香川県,75,16,0,91,7,NA,2015-03-12
JP-38,愛媛県,42,139,2,183,11,NA,2015-03-12
JP-39,高知県,43,41,0,84,12,NA,2015-03-12
JP-40,福岡県,549,146,0,695,39,NA,2015-03-12
JP-41,佐賀県,151,20,0,171,9,NA,2015-03-12
JP-42,長崎県,90,35,0,125,10,NA,2015-03-12
JP-43,熊本県,267,94,0,361,18,NA,2015-03-12
JP-44,大分県,194,28,1,223,15,NA,2015-03-12
JP-45,宮崎県,175,56,0,231,11,NA,2015-03-12
JP-46,鹿児島県,135,64,3,202,24,NA,2015-03-12
JP-47,沖縄県,775,36,5,816,30,NA,2015-03-12
