都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1809,480,2,2291,78,NA,2015-09-10
JP-02,青森県,204,289,4,497,20,NA,2015-09-10
JP-03,岩手県,24847,378,5,25230,29,※1,2015-09-10
JP-04,宮城県,54722,1193,5,55920,35,※1,2015-09-10
JP-05,秋田県,447,425,0,872,20,NA,2015-09-10
JP-06,山形県,3016,646,37,3699,30,NA,2015-09-10
JP-07,福島県,59484,2316,NA,61800,46,※2 ※1,2015-09-10
JP-08,茨城県,2800,1095,41,3936,42,NA,2015-09-10
JP-09,栃木県,2116,734,81,2931,25,NA,2015-09-10
JP-10,群馬県,865,290,106,1261,25,NA,2015-09-10
JP-11,埼玉県,3553,1740,34,5327,58,NA,2015-09-10
JP-12,千葉県,1850,1399,33,3282,45,NA,2015-09-10
JP-13,東京都,5441,1773,31,7245,55,NA,2015-09-10
JP-14,神奈川県,1731,2105,0,3836,32,※1,2015-09-10
JP-15,新潟県,3529,155,53,3737,28,NA,2015-09-10
JP-16,富山県,121,92,0,213,8,NA,2015-09-10
JP-17,石川県,243,52,4,299,10,NA,2015-09-10
JP-18,福井県,203,40,0,243,12,NA,2015-09-10
JP-19,山梨県,575,114,1,690,21,NA,2015-09-10
JP-20,長野県,820,186,0,1006,42,NA,2015-09-10
JP-21,岐阜県,184,86,0,270,23,NA,2015-09-10
JP-22,静岡県,611,267,5,883,31,NA,2015-09-10
JP-23,愛知県,960,136,0,1096,42,NA,2015-09-10
JP-24,三重県,364,74,0,438,15,NA,2015-09-10
JP-25,滋賀県,133,79,0,212,14,NA,2015-09-10
JP-26,京都府,425,300,0,725,14,NA,2015-09-10
JP-27,大阪府,564,185,0,749,30,NA,2015-09-10
JP-28,兵庫県,602,266,0,868,26,NA,2015-09-10
JP-29,奈良県,76,77,0,153,17,NA,2015-09-10
JP-30,和歌山県,59,28,0,87,12,NA,2015-09-10
JP-31,鳥取県,99,50,0,149,12,NA,2015-09-10
JP-32,島根県,74,19,4,97,11,NA,2015-09-10
JP-33,岡山県,767,367,0,1134,18,NA,2015-09-10
JP-34,広島県,222,202,1,425,15,NA,2015-09-10
JP-35,山口県,78,32,0,110,10,NA,2015-09-10
JP-36,徳島県,36,30,0,66,12,NA,2015-09-10
JP-37,香川県,67,16,0,83,7,NA,2015-09-10
JP-38,愛媛県,39,136,2,177,11,NA,2015-09-10
JP-39,高知県,40,41,0,81,12,NA,2015-09-10
JP-40,福岡県,547,148,0,695,39,NA,2015-09-10
JP-41,佐賀県,118,37,0,155,9,NA,2015-09-10
JP-42,長崎県,88,33,0,121,9,NA,2015-09-10
JP-43,熊本県,263,94,0,357,18,NA,2015-09-10
JP-44,大分県,175,21,1,197,15,NA,2015-09-10
JP-45,宮崎県,173,59,0,232,11,NA,2015-09-10
JP-46,鹿児島県,120,67,3,190,23,NA,2015-09-10
JP-47,沖縄県,693,30,5,728,31,NA,2015-09-10
