都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1497,473,6,1976,78,NA,2016-11-10
JP-02,青森県,174,226,4,404,19,NA,2016-11-10
JP-03,岩手県,15820,513,2,16335,27,※1,2016-11-10
JP-04,宮城県,26857,1235,6,28098,34,※1,2016-11-10
JP-05,秋田県,352,370,0,722,19,NA,2016-11-10
JP-06,山形県,2209,734,26,2969,30,NA,2016-11-10
JP-07,福島県,41407,2239,NA,43646,47,※2 ※1,2016-11-10
JP-08,茨城県,2388,1403,30,3821,40,NA,2016-11-10
JP-09,栃木県,2120,748,51,2919,25,NA,2016-11-10
JP-10,群馬県,695,293,14,1002,26,NA,2016-11-10
JP-11,埼玉県,2814,1721,39,4574,56,NA,2016-11-10
JP-12,千葉県,1665,1350,27,3042,43,NA,2016-11-10
JP-13,東京都,4834,1533,38,6405,53,NA,2016-11-10
JP-14,神奈川県,1419,2087,0,3506,32,NA,2016-11-10
JP-15,新潟県,3127,144,31,3302,26,NA,2016-11-10
JP-16,富山県,108,63,0,171,8,NA,2016-11-10
JP-17,石川県,209,48,4,261,11,NA,2016-11-10
JP-18,福井県,170,26,0,196,10,NA,2016-11-10
JP-19,山梨県,557,117,1,675,21,NA,2016-11-10
JP-20,長野県,685,197,0,882,39,NA,2016-11-10
JP-21,岐阜県,160,79,0,239,21,NA,2016-11-10
JP-22,静岡県,552,259,4,815,31,NA,2016-11-10
JP-23,愛知県,897,120,0,1017,39,NA,2016-11-10
JP-24,三重県,361,81,0,442,15,NA,2016-11-10
JP-25,滋賀県,126,82,0,208,13,NA,2016-11-10
JP-26,京都府,305,294,0,599,14,NA,2016-11-10
JP-27,大阪府,369,0,0,369,17,NA,2016-11-10
JP-28,兵庫県,571,271,0,842,26,NA,2016-11-10
JP-29,奈良県,68,74,0,142,18,NA,2016-11-10
JP-30,和歌山県,59,24,0,83,11,NA,2016-11-10
JP-31,鳥取県,83,52,0,135,11,NA,2016-11-10
JP-32,島根県,58,12,2,72,9,NA,2016-11-10
JP-33,岡山県,699,325,0,1024,18,NA,2016-11-10
JP-34,広島県,181,183,1,365,14,NA,2016-11-10
JP-35,山口県,73,29,0,102,10,NA,2016-11-10
JP-36,徳島県,23,12,0,35,10,NA,2016-11-10
JP-37,香川県,60,16,0,76,8,NA,2016-11-10
JP-38,愛媛県,39,136,2,177,11,NA,2016-11-10
JP-39,高知県,17,42,0,59,10,NA,2016-11-10
JP-40,福岡県,532,146,0,678,39,NA,2016-11-10
JP-41,佐賀県,109,37,0,146,8,NA,2016-11-10
JP-42,長崎県,83,34,0,117,9,NA,2016-11-10
JP-43,熊本県,263,94,0,357,18,NA,2016-11-10
JP-44,大分県,157,14,1,172,14,NA,2016-11-10
JP-45,宮崎県,177,61,3,241,11,NA,2016-11-10
JP-46,鹿児島県,106,63,1,170,22,NA,2016-11-10
JP-47,沖縄県,573,24,6,603,31,NA,2016-11-10
