都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1588,488,6,2082,79,NA,2016-05-16
JP-02,青森県,189,241,3,433,20,NA,2016-05-16
JP-03,岩手県,19854,476,2,20332,29,※1,2016-05-16
JP-04,宮城県,40156,1180,5,41341,34,※1,2016-05-16
JP-05,秋田県,381,421,0,802,19,NA,2016-05-16
JP-06,山形県,2498,689,32,3219,29,NA,2016-05-16
JP-07,福島県,48237,2247,NA,50484,46,※2 ※1,2016-05-16
JP-08,茨城県,2417,1223,34,3674,39,NA,2016-05-16
JP-09,栃木県,2096,741,76,2913,25,NA,2016-05-16
JP-10,群馬県,758,294,17,1069,26,NA,2016-05-16
JP-11,埼玉県,3166,1695,38,4899,56,NA,2016-05-16
JP-12,千葉県,1773,1307,30,3110,44,NA,2016-05-16
JP-13,東京都,5019,1693,37,6749,55,NA,2016-05-16
JP-14,神奈川県,1588,2087,0,3675,32,※1,2016-05-16
JP-15,新潟県,3285,147,34,3466,27,NA,2016-05-16
JP-16,富山県,109,66,0,175,8,NA,2016-05-16
JP-17,石川県,222,48,4,274,11,NA,2016-05-16
JP-18,福井県,196,35,0,231,11,NA,2016-05-16
JP-19,山梨県,567,117,1,685,21,NA,2016-05-16
JP-20,長野県,703,196,0,899,39,NA,2016-05-16
JP-21,岐阜県,168,88,0,256,23,NA,2016-05-16
JP-22,静岡県,562,259,4,825,31,NA,2016-05-16
JP-23,愛知県,922,123,0,1045,40,NA,2016-05-16
JP-24,三重県,358,68,0,426,15,NA,2016-05-16
JP-25,滋賀県,128,78,0,206,13,※1,2016-05-16
JP-26,京都府,362,298,0,660,14,NA,2016-05-16
JP-27,大阪府,408,0,0,408,18,NA,2016-05-16
JP-28,兵庫県,580,270,0,850,26,NA,2016-05-16
JP-29,奈良県,65,76,0,141,17,NA,2016-05-16
JP-30,和歌山県,64,24,0,88,11,NA,2016-05-16
JP-31,鳥取県,89,50,0,139,11,NA,2016-05-16
JP-32,島根県,59,11,2,72,9,NA,2016-05-16
JP-33,岡山県,730,320,0,1050,18,NA,2016-05-16
JP-34,広島県,190,188,1,379,14,NA,2016-05-16
JP-35,山口県,77,33,0,110,10,NA,2016-05-16
JP-36,徳島県,23,13,0,36,9,NA,2016-05-16
JP-37,香川県,63,16,0,79,8,NA,2016-05-16
JP-38,愛媛県,39,136,2,177,11,※1,2016-05-16
JP-39,高知県,35,44,0,79,13,NA,2016-05-16
JP-40,福岡県,533,146,0,679,39,NA,2016-05-16
JP-41,佐賀県,110,37,0,147,8,NA,2016-05-16
JP-42,長崎県,83,34,0,117,9,※1,2016-05-16
JP-43,熊本県,263,94,0,357,18,※1,2016-05-16
JP-44,大分県,159,19,1,179,14,NA,2016-05-16
JP-45,宮崎県,166,64,0,230,12,NA,2016-05-16
JP-46,鹿児島県,110,63,1,174,22,NA,2016-05-16
JP-47,沖縄県,627,28,5,660,31,NA,2016-05-16
