都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,518,2210,2728,89,NA,2013-12-12
JP-02,青森県,0,0,425,373,798,23,NA,2013-12-12
JP-03,岩手県,0,0,350,35575,35925,29,※1,2013-12-12
JP-04,宮城県,0,0,1083,91207,92290,35,※1,2013-12-12
JP-05,秋田県,0,0,465,648,1113,20,NA,2013-12-12
JP-06,山形県,0,0,572,5784,6356,32,NA,2013-12-12
JP-07,福島県,0,0,NA,87712,87712,47,※1,2013-12-12
JP-08,茨城県,0,0,609,4394,5003,42,NA,2013-12-12
JP-09,栃木県,0,0,586,2456,3042,25,NA,2013-12-12
JP-10,群馬県,0,0,239,1338,1577,26,NA,2013-12-12
JP-11,埼玉県,11,0,0,3043,3054,56,NA,2013-12-12
JP-12,千葉県,0,0,3412,564,3976,45,NA,2013-12-12
JP-13,東京都,0,0,1959,6089,8048,56,NA,2013-12-12
JP-14,神奈川県,0,0,0,2425,2425,24,※1,2013-12-12
JP-15,新潟県,0,0,247,4616,4863,28,NA,2013-12-12
JP-16,富山県,0,0,63,224,287,10,NA,2013-12-12
JP-17,石川県,0,0,64,342,406,11,NA,2013-12-12
JP-18,福井県,0,0,47,223,270,14,NA,2013-12-12
JP-19,山梨県,0,0,147,648,795,21,NA,2013-12-12
JP-20,長野県,0,0,147,1036,1183,42,NA,2013-12-12
JP-21,岐阜県,0,0,110,200,310,25,NA,2013-12-12
JP-22,静岡県,0,0,296,792,1088,31,NA,2013-12-12
JP-23,愛知県,0,0,179,1029,1208,44,NA,2013-12-12
JP-24,三重県,0,0,93,395,488,15,NA,2013-12-12
JP-25,滋賀県,0,0,210,105,315,14,NA,2013-12-12
JP-26,京都府,0,0,321,637,958,16,NA,2013-12-12
JP-27,大阪府,0,0,185,814,999,30,NA,2013-12-12
JP-28,兵庫県,0,0,267,674,941,26,NA,2013-12-12
JP-29,奈良県,0,0,91,77,168,18,NA,2013-12-12
JP-30,和歌山県,0,0,37,64,101,12,NA,2013-12-12
JP-31,鳥取県,0,0,50,135,185,12,NA,2013-12-12
JP-32,島根県,0,0,24,105,129,13,NA,2013-12-12
JP-33,岡山県,0,0,312,715,1027,19,NA,2013-12-12
JP-34,広島県,0,0,199,295,494,15,NA,2013-12-12
JP-35,山口県,0,0,44,104,148,12,NA,2013-12-12
JP-36,徳島県,0,0,31,42,73,12,NA,2013-12-12
JP-37,香川県,0,0,13,85,98,7,NA,2013-12-12
JP-38,愛媛県,0,0,139,46,185,11,NA,2013-12-12
JP-39,高知県,0,0,63,61,124,15,NA,2013-12-12
JP-40,福岡県,0,0,137,581,718,37,NA,2013-12-12
JP-41,佐賀県,0,0,24,189,213,9,NA,2013-12-12
JP-42,長崎県,0,0,53,91,144,10,NA,2013-12-12
JP-43,熊本県,0,0,107,291,398,20,NA,2013-12-12
JP-44,大分県,0,0,44,210,254,15,NA,2013-12-12
JP-45,宮崎県,0,0,73,187,260,11,NA,2013-12-12
JP-46,鹿児島県,0,0,74,157,231,26,NA,2013-12-12
JP-47,沖縄県,0,0,52,928,980,30,NA,2013-12-12
