都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2087,528,1,2616,83,NA,2014-07-10
JP-02,青森県,265,345,7,617,22,NA,2014-07-10
JP-03,岩手県,32179,355,5,32539,29,※1,2014-07-10
JP-04,宮城県,78883,1121,5,80009,35,※1,2014-07-10
JP-05,秋田県,587,441,0,1028,20,NA,2014-07-10
JP-06,山形県,4442,581,52,5075,30,NA,2014-07-10
JP-07,福島県,78387,2865,NA,81252,46,※2 ※1,2014-07-10
JP-08,茨城県,3627,687,41,4355,42,NA,2014-07-10
JP-09,栃木県,2225,669,104,2998,25,NA,2014-07-10
JP-10,群馬県,1033,265,127,1425,25,NA,2014-07-10
JP-11,埼玉県,2992,0,0,2992,55,NA,2014-07-10
JP-12,千葉県,558,3365,1,3924,45,NA,2014-07-10
JP-13,東京都,6199,1511,31,7741,55,NA,2014-07-10
JP-14,神奈川県,2182,0,0,2182,24,※1,2014-07-10
JP-15,新潟県,4060,179,61,4300,28,NA,2014-07-10
JP-16,富山県,187,60,3,250,10,NA,2014-07-10
JP-17,石川県,306,53,4,363,11,NA,2014-07-10
JP-18,福井県,210,45,0,255,13,NA,2014-07-10
JP-19,山梨県,604,107,1,712,21,NA,2014-07-10
JP-20,長野県,928,159,0,1087,42,NA,2014-07-10
JP-21,岐阜県,209,107,0,316,25,NA,2014-07-10
JP-22,静岡県,715,267,5,987,30,NA,2014-07-10
JP-23,愛知県,1019,159,0,1178,43,NA,2014-07-10
JP-24,三重県,383,93,0,476,15,NA,2014-07-10
JP-25,滋賀県,146,83,0,229,12,NA,2014-07-10
JP-26,京都府,544,345,0,889,16,NA,2014-07-10
JP-27,大阪府,696,185,0,881,30,NA,2014-07-10
JP-28,兵庫県,645,277,0,922,27,NA,2014-07-10
JP-29,奈良県,78,79,0,157,17,NA,2014-07-10
JP-30,和歌山県,63,32,0,95,12,NA,2014-07-10
JP-31,鳥取県,123,53,0,176,12,NA,2014-07-10
JP-32,島根県,68,23,3,94,11,NA,2014-07-10
JP-33,岡山県,762,365,0,1127,19,NA,2014-07-10
JP-34,広島県,269,199,1,469,15,NA,2014-07-10
JP-35,山口県,95,41,0,136,11,NA,2014-07-10
JP-36,徳島県,36,31,0,67,12,NA,2014-07-10
JP-37,香川県,76,16,0,92,8,NA,2014-07-10
JP-38,愛媛県,44,139,2,185,11,NA,2014-07-10
JP-39,高知県,58,47,0,105,12,NA,2014-07-10
JP-40,福岡県,553,135,0,688,37,NA,2014-07-10
JP-41,佐賀県,156,22,0,178,9,NA,2014-07-10
JP-42,長崎県,100,35,0,135,10,NA,2014-07-10
JP-43,熊本県,275,86,0,361,18,NA,2014-07-10
JP-44,大分県,193,37,1,231,15,NA,2014-07-10
JP-45,宮崎県,176,59,0,235,11,NA,2014-07-10
JP-46,鹿児島県,146,68,1,215,23,NA,2014-07-10
JP-47,沖縄県,840,44,5,889,30,NA,2014-07-10
