都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1593,488,5,2086,80,NA,2016-04-14
JP-02,青森県,194,241,3,438,20,NA,2016-04-14
JP-03,岩手県,20619,457,2,21078,29,※1,2016-04-14
JP-04,宮城県,42637,1180,5,43822,34,※1,2016-04-14
JP-05,秋田県,381,421,0,802,19,NA,2016-04-14
JP-06,山形県,2570,691,33,3294,30,NA,2016-04-14
JP-07,福島県,49763,2256,NA,52019,46,※2 ※1,2016-04-14
JP-08,茨城県,2495,1272,37,3804,40,NA,2016-04-14
JP-09,栃木県,2096,741,76,2913,25,NA,2016-04-14
JP-10,群馬県,766,299,86,1151,26,NA,2016-04-14
JP-11,埼玉県,3223,1696,37,4956,56,NA,2016-04-14
JP-12,千葉県,1755,1309,30,3094,44,NA,2016-04-14
JP-13,東京都,5044,1693,37,6774,55,NA,2016-04-14
JP-14,神奈川県,1588,2087,0,3675,32,※1,2016-04-14
JP-15,新潟県,3331,145,34,3510,28,NA,2016-04-14
JP-16,富山県,111,66,0,177,8,NA,2016-04-14
JP-17,石川県,233,48,4,285,11,NA,2016-04-14
JP-18,福井県,196,35,0,231,11,NA,2016-04-14
JP-19,山梨県,567,117,1,685,21,NA,2016-04-14
JP-20,長野県,708,196,0,904,40,NA,2016-04-14
JP-21,岐阜県,168,88,0,256,23,NA,2016-04-14
JP-22,静岡県,562,261,4,827,31,NA,2016-04-14
JP-23,愛知県,931,123,0,1054,41,NA,2016-04-14
JP-24,三重県,364,68,0,432,15,NA,2016-04-14
JP-25,滋賀県,127,78,0,205,14,※1,2016-04-14
JP-26,京都府,377,289,0,666,7,NA,2016-04-14
JP-27,大阪府,423,0,0,423,18,NA,2016-04-14
JP-28,兵庫県,578,272,0,850,26,NA,2016-04-14
JP-29,奈良県,69,76,0,145,17,NA,2016-04-14
JP-30,和歌山県,64,24,0,88,11,NA,2016-04-14
JP-31,鳥取県,89,50,0,139,11,NA,2016-04-14
JP-32,島根県,58,11,2,71,9,NA,2016-04-14
JP-33,岡山県,731,320,0,1051,18,NA,2016-04-14
JP-34,広島県,190,188,1,379,14,NA,2016-04-14
JP-35,山口県,78,32,0,110,10,NA,2016-04-14
JP-36,徳島県,23,13,0,36,9,NA,2016-04-14
JP-37,香川県,63,16,0,79,8,NA,2016-04-14
JP-38,愛媛県,39,136,2,177,11,※1,2016-04-14
JP-39,高知県,36,44,0,80,13,NA,2016-04-14
JP-40,福岡県,533,146,0,679,39,NA,2016-04-14
JP-41,佐賀県,112,37,0,149,8,NA,2016-04-14
JP-42,長崎県,83,34,0,117,9,※1,2016-04-14
JP-43,熊本県,263,94,0,357,18,※1,2016-04-14
JP-44,大分県,166,24,1,191,14,NA,2016-04-14
JP-45,宮崎県,166,64,0,230,12,NA,2016-04-14
JP-46,鹿児島県,117,63,1,181,22,NA,2016-04-14
JP-47,沖縄県,634,28,5,667,31,NA,2016-04-14
