都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1636,497,2,2135,78,NA,2015-11-12
JP-02,青森県,203,285,4,492,20,NA,2015-11-12
JP-03,岩手県,23795,445,5,24245,30,※1,2015-11-12
JP-04,宮城県,50929,1182,5,52116,35,※1,2015-11-12
JP-05,秋田県,435,431,0,866,20,NA,2015-11-12
JP-06,山形県,2924,648,36,3608,30,NA,2015-11-12
JP-07,福島県,57077,2286,NA,59363,46,※2 ※1,2015-11-12
JP-08,茨城県,2615,1147,37,3799,42,NA,2015-11-12
JP-09,栃木県,2114,737,80,2931,25,NA,2015-11-12
JP-10,群馬県,850,292,106,1248,25,NA,2015-11-12
JP-11,埼玉県,3462,1737,33,5232,58,NA,2015-11-12
JP-12,千葉県,1836,1389,32,3257,44,NA,2015-11-12
JP-13,東京都,5374,1761,31,7166,55,NA,2015-11-12
JP-14,神奈川県,1675,2105,0,3780,32,※1,2015-11-12
JP-15,新潟県,3511,150,48,3709,28,NA,2015-11-12
JP-16,富山県,119,92,0,211,8,NA,2015-11-12
JP-17,石川県,240,52,4,296,10,NA,2015-11-12
JP-18,福井県,200,35,0,235,12,NA,2015-11-12
JP-19,山梨県,573,115,1,689,21,NA,2015-11-12
JP-20,長野県,774,188,0,962,41,NA,2015-11-12
JP-21,岐阜県,184,86,0,270,23,NA,2015-11-12
JP-22,静岡県,587,282,5,874,31,NA,2015-11-12
JP-23,愛知県,961,136,0,1097,42,NA,2015-11-12
JP-24,三重県,361,74,0,435,15,NA,2015-11-12
JP-25,滋賀県,130,79,0,209,14,NA,2015-11-12
JP-26,京都府,411,303,0,714,14,NA,2015-11-12
JP-27,大阪府,523,185,0,708,30,NA,2015-11-12
JP-28,兵庫県,597,264,0,861,26,NA,2015-11-12
JP-29,奈良県,76,76,0,152,17,NA,2015-11-12
JP-30,和歌山県,59,28,0,87,12,NA,2015-11-12
JP-31,鳥取県,96,50,0,146,12,NA,2015-11-12
JP-32,島根県,67,19,4,90,11,NA,2015-11-12
JP-33,岡山県,740,339,0,1079,18,NA,2015-11-12
JP-34,広島県,199,190,1,390,14,NA,2015-11-12
JP-35,山口県,78,32,0,110,10,NA,2015-11-12
JP-36,徳島県,30,13,0,43,11,NA,2015-11-12
JP-37,香川県,67,14,0,81,7,NA,2015-11-12
JP-38,愛媛県,39,136,2,177,11,NA,2015-11-12
JP-39,高知県,37,48,0,85,12,NA,2015-11-12
JP-40,福岡県,547,148,0,695,39,NA,2015-11-12
JP-41,佐賀県,114,37,0,151,9,NA,2015-11-12
JP-42,長崎県,88,33,0,121,9,NA,2015-11-12
JP-43,熊本県,263,94,0,357,18,NA,2015-11-12
JP-44,大分県,177,21,1,199,15,NA,2015-11-12
JP-45,宮崎県,166,63,0,229,11,NA,2015-11-12
JP-46,鹿児島県,121,66,2,189,23,NA,2015-11-12
JP-47,沖縄県,680,28,5,713,31,NA,2015-11-12
