都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,547,2350,2897,92,NA,2013-04-04
JP-02,青森県,0,0,502,498,1000,23,NA,2013-04-04
JP-03,岩手県,0,0,326,39686,40012,29,※1,2013-04-04
JP-04,宮城県,0,0,1045,105564,106609,35,※1,2013-04-04
JP-05,秋田県,0,0,474,771,1245,20,NA,2013-04-04
JP-06,山形県,0,0,558,8983,9541,34,NA,2013-04-04
JP-07,福島県,0,0,NA,96264,96264,47,※1,2013-04-04
JP-08,茨城県,0,0,571,4812,5383,42,NA,2013-04-04
JP-09,栃木県,0,0,530,2563,3093,25,NA,2013-04-04
JP-10,群馬県,0,0,215,1526,1741,28,NA,2013-04-04
JP-11,埼玉県,125,0,0,3673,3798,56,NA,2013-04-04
JP-12,千葉県,0,NA,3988,NA,3988,46,NA,2013-04-04
JP-13,東京都,0,0,2185,6820,9005,55,NA,2013-04-04
JP-14,神奈川県,0,0,0,2681,2681,25,※1,2013-04-04
JP-15,新潟県,0,0,269,5490,5759,28,※1,2013-04-04
JP-16,富山県,0,0,67,234,301,10,NA,2013-04-04
JP-17,石川県,0,0,105,363,468,11,NA,2013-04-04
JP-18,福井県,0,0,67,231,298,15,NA,2013-04-04
JP-19,山梨県,0,0,155,641,796,21,NA,2013-04-04
JP-20,長野県,0,0,133,1116,1249,45,NA,2013-04-04
JP-21,岐阜県,0,0,129,210,339,27,NA,2013-04-04
JP-22,静岡県,0,0,296,836,1132,33,NA,2013-04-04
JP-23,愛知県,0,0,205,1040,1245,46,NA,2013-04-04
JP-24,三重県,0,0,87,405,492,17,NA,2013-04-04
JP-25,滋賀県,0,0,227,124,351,15,NA,2013-04-04
JP-26,京都府,0,0,273,722,995,16,NA,2013-04-04
JP-27,大阪府,0,0,297,882,1179,31,NA,2013-04-04
JP-28,兵庫県,0,0,297,723,1020,28,NA,2013-04-04
JP-29,奈良県,0,0,90,83,173,18,NA,2013-04-04
JP-30,和歌山県,0,0,36,70,106,11,NA,2013-04-04
JP-31,鳥取県,0,0,52,149,201,13,NA,2013-04-04
JP-32,島根県,0,0,24,106,130,13,NA,2013-04-04
JP-33,岡山県,0,0,286,661,947,19,NA,2013-04-04
JP-34,広島県,0,0,214,347,561,15,NA,2013-04-04
JP-35,山口県,0,0,48,112,160,13,NA,2013-04-04
JP-36,徳島県,0,0,33,52,85,11,NA,2013-04-04
JP-37,香川県,0,0,12,87,99,7,NA,2013-04-04
JP-38,愛媛県,0,0,146,51,197,11,NA,2013-04-04
JP-39,高知県,0,0,67,59,126,14,NA,2013-04-04
JP-40,福岡県,0,0,157,592,749,37,NA,2013-04-04
JP-41,佐賀県,0,0,38,220,258,9,NA,2013-04-04
JP-42,長崎県,0,0,51,93,144,11,NA,2013-04-04
JP-43,熊本県,0,0,107,293,400,21,NA,2013-04-04
JP-44,大分県,0,0,51,261,312,15,NA,2013-04-04
JP-45,宮崎県,0,0,85,177,262,10,NA,2013-04-04
JP-46,鹿児島県,0,0,91,163,254,26,NA,2013-04-04
JP-47,沖縄県,0,0,69,943,1012,29,NA,2013-04-04
