都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2028,507,2,2537,80,NA,2015-04-16
JP-02,青森県,224,310,5,539,21,NA,2015-04-16
JP-03,岩手県,28101,376,5,28482,29,※1,2015-04-16
JP-04,宮城県,66333,1172,5,67510,35,※1,2015-04-16
JP-05,秋田県,494,434,0,928,20,NA,2015-04-16
JP-06,山形県,3528,636,40,4204,30,NA,2015-04-16
JP-07,福島県,66578,2630,NA,69208,46,※2 ※1,2015-04-16
JP-08,茨城県,3234,901,37,4172,42,NA,2015-04-16
JP-09,栃木県,2130,722,83,2935,25,NA,2015-04-16
JP-10,群馬県,924,273,128,1325,25,NA,2015-04-16
JP-11,埼玉県,3813,1663,32,5508,57,NA,2015-04-16
JP-12,千葉県,1915,1591,33,3539,46,NA,2015-04-16
JP-13,東京都,5600,1792,32,7424,55,NA,2015-04-16
JP-14,神奈川県,1894,2108,0,4002,32,※1,2015-04-16
JP-15,新潟県,3752,156,55,3963,28,NA,2015-04-16
JP-16,富山県,134,93,0,227,8,NA,2015-04-16
JP-17,石川県,244,52,4,300,10,NA,2015-04-16
JP-18,福井県,204,40,0,244,12,NA,2015-04-16
JP-19,山梨県,580,104,1,685,21,NA,2015-04-16
JP-20,長野県,866,176,0,1042,42,NA,2015-04-16
JP-21,岐阜県,193,77,0,270,23,NA,2015-04-16
JP-22,静岡県,651,251,5,907,31,NA,2015-04-16
JP-23,愛知県,986,145,0,1131,43,NA,2015-04-16
JP-24,三重県,360,102,0,462,15,NA,2015-04-16
JP-25,滋賀県,150,75,0,225,14,NA,2015-04-16
JP-26,京都府,456,322,0,778,15,NA,2015-04-16
JP-27,大阪府,644,185,0,829,30,NA,2015-04-16
JP-28,兵庫県,610,265,0,875,26,NA,2015-04-16
JP-29,奈良県,82,77,0,159,18,NA,2015-04-16
JP-30,和歌山県,62,32,0,94,12,NA,2015-04-16
JP-31,鳥取県,116,57,0,173,12,NA,2015-04-16
JP-32,島根県,67,19,4,90,11,NA,2015-04-16
JP-33,岡山県,770,366,0,1136,18,NA,2015-04-16
JP-34,広島県,246,189,1,436,15,NA,2015-04-16
JP-35,山口県,85,37,0,122,10,NA,2015-04-16
JP-36,徳島県,36,30,0,66,12,NA,2015-04-16
JP-37,香川県,72,16,0,88,7,NA,2015-04-16
JP-38,愛媛県,42,136,2,180,11,NA,2015-04-16
JP-39,高知県,43,41,0,84,12,NA,2015-04-16
JP-40,福岡県,550,146,0,696,39,NA,2015-04-16
JP-41,佐賀県,145,20,0,165,9,NA,2015-04-16
JP-42,長崎県,90,34,0,124,10,NA,2015-04-16
JP-43,熊本県,267,94,0,361,18,NA,2015-04-16
JP-44,大分県,192,28,1,221,15,NA,2015-04-16
JP-45,宮崎県,175,56,0,231,11,NA,2015-04-16
JP-46,鹿児島県,123,67,3,193,23,NA,2015-04-16
JP-47,沖縄県,706,37,5,748,31,NA,2015-04-16
