都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,580,2431,3011,94,NA,2012-09-06
JP-02,青森県,0,0,532,736,1268,25,NA,2012-09-06
JP-03,岩手県,0,0,664,41599,42263,27,※1,2012-09-06
JP-04,宮城県,0,0,930,114926,115856,35,※1,2012-09-06
JP-05,秋田県,0,0,487,859,1346,20,NA,2012-09-06
JP-06,山形県,0,0,613,11138,11751,34,NA,2012-09-06
JP-07,福島県,0,0,NA,99521,99521,48,※1,2012-09-06
JP-08,茨城県,0,0,605,5635,6240,42,NA,2012-09-06
JP-09,栃木県,0,0,857,2096,2953,25,NA,2012-09-06
JP-10,群馬県,0,0,239,1646,1885,28,NA,2012-09-06
JP-11,埼玉県,205,0,0,4124,4329,56,NA,2012-09-06
JP-12,千葉県,0,NA,3871,NA,3871,46,NA,2012-09-06
JP-13,東京都,0,0,2372,7025,9397,55,NA,2012-09-06
JP-14,神奈川県,0,0,0,2942,2942,25,※1,2012-09-06
JP-15,新潟県,0,0,370,6082,6452,29,※1,2012-09-06
JP-16,富山県,0,0,76,259,335,10,NA,2012-09-06
JP-17,石川県,0,1,106,383,490,11,NA,2012-09-06
JP-18,福井県,0,0,70,255,325,16,NA,2012-09-06
JP-19,山梨県,0,0,244,578,822,21,NA,2012-09-06
JP-20,長野県,0,0,132,1255,1387,45,NA,2012-09-06
JP-21,岐阜県,0,0,145,234,379,29,NA,2012-09-06
JP-22,静岡県,0,0,369,945,1314,32,NA,2012-09-06
JP-23,愛知県,0,0,221,1034,1255,46,NA,2012-09-06
JP-24,三重県,0,0,100,401,501,18,NA,2012-09-06
JP-25,滋賀県,0,2,240,124,366,16,NA,2012-09-06
JP-26,京都府,0,NA,262,764,1026,18,NA,2012-09-06
JP-27,大阪府,0,0,297,941,1238,31,NA,2012-09-06
JP-28,兵庫県,0,0,365,698,1063,27,NA,2012-09-06
JP-29,奈良県,0,0,87,104,191,18,NA,2012-09-06
JP-30,和歌山県,0,0,41,87,128,14,NA,2012-09-06
JP-31,鳥取県,0,0,57,138,195,14,NA,2012-09-06
JP-32,島根県,0,0,22,120,142,12,NA,2012-09-06
JP-33,岡山県,0,0,244,576,820,19,NA,2012-09-06
JP-34,広島県,0,0,196,374,570,16,NA,2012-09-06
JP-35,山口県,0,0,59,121,180,13,NA,2012-09-06
JP-36,徳島県,0,0,37,51,88,12,NA,2012-09-06
JP-37,香川県,0,0,14,90,104,9,NA,2012-09-06
JP-38,愛媛県,0,0,141,60,201,12,NA,2012-09-06
JP-39,高知県,0,0,79,67,146,15,NA,2012-09-06
JP-40,福岡県,0,0,170,588,758,37,NA,2012-09-06
JP-41,佐賀県,0,0,39,245,284,10,NA,2012-09-06
JP-42,長崎県,0,0,50,105,155,11,NA,2012-09-06
JP-43,熊本県,0,0,112,220,332,23,NA,2012-09-06
JP-44,大分県,0,0,65,287,352,16,NA,2012-09-06
JP-45,宮崎県,0,0,85,173,258,11,NA,2012-09-06
JP-46,鹿児島県,0,0,97,172,269,27,NA,2012-09-06
JP-47,沖縄県,0,0,74,944,1018,26,NA,2012-09-06
