都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,598,2398,2996,97,NA,2012-07-05
JP-02,青森県,0,0,546,751,1297,25,NA,2012-07-05
JP-03,岩手県,0,0,714,42060,42774,27,※1,2012-07-05
JP-04,宮城県,0,0,924,126704,127628,34,※1,2012-07-05
JP-05,秋田県,0,0,494,879,1373,20,NA,2012-07-05
JP-06,山形県,0,0,678,12035,12713,34,NA,2012-07-05
JP-07,福島県,0,0,NA,100096,100096,47,※1,2012-07-05
JP-08,茨城県,0,0,614,5593,6207,42,NA,2012-07-05
JP-09,栃木県,0,0,865,2116,2981,25,NA,2012-07-05
JP-10,群馬県,0,0,236,1693,1929,28,NA,2012-07-05
JP-11,埼玉県,225,0,0,4240,4465,57,NA,2012-07-05
JP-12,千葉県,0,NA,3860,NA,3860,47,NA,2012-07-05
JP-13,東京都,0,0,2393,7054,9447,55,NA,2012-07-05
JP-14,神奈川県,0,0,0,3000,3000,1,※1,2012-07-05
JP-15,新潟県,0,0,409,6303,6712,30,※1,2012-07-05
JP-16,富山県,0,0,75,268,343,10,NA,2012-07-05
JP-17,石川県,0,0,105,384,489,11,NA,2012-07-05
JP-18,福井県,0,0,70,332,402,16,NA,2012-07-05
JP-19,山梨県,0,1,259,595,855,21,NA,2012-07-05
JP-20,長野県,0,0,145,1264,1409,46,NA,2012-07-05
JP-21,岐阜県,0,0,198,208,406,29,NA,2012-07-05
JP-22,静岡県,0,0,389,960,1349,32,NA,2012-07-05
JP-23,愛知県,0,0,230,1039,1269,47,NA,2012-07-05
JP-24,三重県,0,0,85,327,412,15,NA,2012-07-05
JP-25,滋賀県,0,0,250,121,371,16,NA,2012-07-05
JP-26,京都府,0,NA,249,776,1025,18,NA,2012-07-05
JP-27,大阪府,0,0,298,977,1275,31,NA,2012-07-05
JP-28,兵庫県,0,0,367,699,1066,27,NA,2012-07-05
JP-29,奈良県,0,0,65,101,166,18,NA,2012-07-05
JP-30,和歌山県,0,0,39,87,126,14,NA,2012-07-05
JP-31,鳥取県,0,0,57,144,201,14,NA,2012-07-05
JP-32,島根県,0,0,22,120,142,12,NA,2012-07-05
JP-33,岡山県,0,0,250,576,826,19,NA,2012-07-05
JP-34,広島県,0,0,131,266,397,14,NA,2012-07-05
JP-35,山口県,0,0,74,120,194,13,NA,2012-07-05
JP-36,徳島県,0,0,37,51,88,12,NA,2012-07-05
JP-37,香川県,0,0,21,90,111,10,NA,2012-07-05
JP-38,愛媛県,0,0,151,60,211,13,NA,2012-07-05
JP-39,高知県,0,0,79,66,145,15,NA,2012-07-05
JP-40,福岡県,0,0,169,595,764,37,NA,2012-07-05
JP-41,佐賀県,0,0,41,249,290,11,NA,2012-07-05
JP-42,長崎県,0,0,55,101,156,12,NA,2012-07-05
JP-43,熊本県,0,0,115,198,313,23,NA,2012-07-05
JP-44,大分県,0,0,84,264,348,16,NA,2012-07-05
JP-45,宮崎県,0,0,91,165,256,11,NA,2012-07-05
JP-46,鹿児島県,0,0,106,172,278,26,NA,2012-07-05
JP-47,沖縄県,0,1,111,898,1010,26,NA,2012-07-05
