都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1621,497,3,2121,80,NA,2016-03-10
JP-02,青森県,195,297,4,496,20,NA,2016-03-10
JP-03,岩手県,21227,456,4,21687,29,※1,2016-03-10
JP-04,宮城県,44487,1180,5,45672,34,※1,2016-03-10
JP-05,秋田県,419,416,0,835,19,NA,2016-03-10
JP-06,山形県,2755,654,33,3442,30,NA,2016-03-10
JP-07,福島県,51727,2256,NA,53983,46,※2 ※1,2016-03-10
JP-08,茨城県,2545,1253,38,3836,40,NA,2016-03-10
JP-09,栃木県,2106,735,78,2919,25,NA,2016-03-10
JP-10,群馬県,803,300,86,1189,26,NA,2016-03-10
JP-11,埼玉県,3336,1671,38,5045,57,NA,2016-03-10
JP-12,千葉県,1816,1309,32,3157,44,NA,2016-03-10
JP-13,東京都,5055,1697,37,6789,55,NA,2016-03-10
JP-14,神奈川県,1588,2087,0,3675,32,※1,2016-03-10
JP-15,新潟県,3449,148,48,3645,28,NA,2016-03-10
JP-16,富山県,115,67,0,182,8,NA,2016-03-10
JP-17,石川県,240,48,4,292,11,NA,2016-03-10
JP-18,福井県,200,35,0,235,12,NA,2016-03-10
JP-19,山梨県,567,117,1,685,21,NA,2016-03-10
JP-20,長野県,736,196,0,932,40,NA,2016-03-10
JP-21,岐阜県,168,88,0,256,23,NA,2016-03-10
JP-22,静岡県,567,261,4,832,31,NA,2016-03-10
JP-23,愛知県,927,128,0,1055,41,NA,2016-03-10
JP-24,三重県,364,68,0,432,15,NA,2016-03-10
JP-25,滋賀県,127,78,0,205,14,NA,2016-03-10
JP-26,京都府,389,292,0,681,14,NA,2016-03-10
JP-27,大阪府,512,185,0,697,30,NA,2016-03-10
JP-28,兵庫県,579,270,0,849,26,NA,2016-03-10
JP-29,奈良県,75,76,0,151,17,NA,2016-03-10
JP-30,和歌山県,62,26,0,88,12,NA,2016-03-10
JP-31,鳥取県,91,50,0,141,11,NA,2016-03-10
JP-32,島根県,56,11,2,69,9,NA,2016-03-10
JP-33,岡山県,734,341,0,1075,18,NA,2016-03-10
JP-34,広島県,196,189,1,386,14,NA,2016-03-10
JP-35,山口県,78,30,0,108,10,NA,2016-03-10
JP-36,徳島県,30,13,0,43,11,NA,2016-03-10
JP-37,香川県,63,16,0,79,8,NA,2016-03-10
JP-38,愛媛県,39,136,2,177,11,NA,2016-03-10
JP-39,高知県,37,44,0,81,12,NA,2016-03-10
JP-40,福岡県,533,146,0,679,39,NA,2016-03-10
JP-41,佐賀県,112,37,0,149,8,NA,2016-03-10
JP-42,長崎県,83,34,0,117,9,NA,2016-03-10
JP-43,熊本県,263,94,0,357,18,NA,2016-03-10
JP-44,大分県,170,24,1,195,15,NA,2016-03-10
JP-45,宮崎県,166,64,0,230,12,NA,2016-03-10
JP-46,鹿児島県,120,65,1,186,22,NA,2016-03-10
JP-47,沖縄県,673,28,5,706,31,NA,2016-03-10
