都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1821,479,2,2302,78,NA,2015-08-13
JP-02,青森県,204,298,5,507,21,NA,2015-08-13
JP-03,岩手県,25375,381,5,25761,29,※1,2015-08-13
JP-04,宮城県,56367,1193,5,57565,35,※1,2015-08-13
JP-05,秋田県,453,425,0,878,20,NA,2015-08-13
JP-06,山形県,3075,634,37,3746,30,NA,2015-08-13
JP-07,福島県,60428,2345,NA,62773,46,※2 ※1,2015-08-13
JP-08,茨城県,2800,1095,41,3936,42,NA,2015-08-13
JP-09,栃木県,2116,734,81,2931,25,NA,2015-08-13
JP-10,群馬県,881,286,107,1274,25,NA,2015-08-13
JP-11,埼玉県,3610,1738,32,5380,58,NA,2015-08-13
JP-12,千葉県,1907,1614,35,3556,44,NA,2015-08-13
JP-13,東京都,5470,1781,31,7282,55,NA,2015-08-13
JP-14,神奈川県,1740,2105,0,3845,32,※1,2015-08-13
JP-15,新潟県,3557,155,53,3765,28,NA,2015-08-13
JP-16,富山県,121,92,0,213,8,NA,2015-08-13
JP-17,石川県,244,52,4,300,10,NA,2015-08-13
JP-18,福井県,204,40,0,244,12,NA,2015-08-13
JP-19,山梨県,575,113,1,689,21,NA,2015-08-13
JP-20,長野県,826,186,0,1012,42,NA,2015-08-13
JP-21,岐阜県,184,86,0,270,23,NA,2015-08-13
JP-22,静岡県,618,269,5,892,31,NA,2015-08-13
JP-23,愛知県,966,136,0,1102,42,NA,2015-08-13
JP-24,三重県,369,75,0,444,15,NA,2015-08-13
JP-25,滋賀県,133,79,0,212,14,NA,2015-08-13
JP-26,京都府,429,303,0,732,14,NA,2015-08-13
JP-27,大阪府,577,185,0,762,30,NA,2015-08-13
JP-28,兵庫県,605,266,0,871,26,NA,2015-08-13
JP-29,奈良県,76,77,0,153,17,NA,2015-08-13
JP-30,和歌山県,58,32,0,90,12,NA,2015-08-13
JP-31,鳥取県,103,51,0,154,12,NA,2015-08-13
JP-32,島根県,73,19,4,96,11,NA,2015-08-13
JP-33,岡山県,771,367,0,1138,18,NA,2015-08-13
JP-34,広島県,223,201,1,425,15,NA,2015-08-13
JP-35,山口県,79,32,0,111,10,NA,2015-08-13
JP-36,徳島県,36,30,0,66,12,NA,2015-08-13
JP-37,香川県,67,16,0,83,7,NA,2015-08-13
JP-38,愛媛県,39,136,2,177,11,NA,2015-08-13
JP-39,高知県,40,41,0,81,12,NA,2015-08-13
JP-40,福岡県,550,148,0,698,38,NA,2015-08-13
JP-41,佐賀県,122,37,0,159,9,NA,2015-08-13
JP-42,長崎県,87,34,0,121,9,NA,2015-08-13
JP-43,熊本県,267,94,0,361,18,NA,2015-08-13
JP-44,大分県,176,29,1,206,15,NA,2015-08-13
JP-45,宮崎県,176,56,0,232,11,NA,2015-08-13
JP-46,鹿児島県,120,67,3,190,23,NA,2015-08-13
JP-47,沖縄県,693,27,8,728,31,NA,2015-08-13
