都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,1568,467,6,2041,78,NA,2016-07-14
JP-02,青森県,184,230,4,418,20,NA,2016-07-14
JP-03,岩手県,18316,470,2,18788,27,※1,2016-07-14
JP-04,宮城県,32785,1180,5,33970,34,※1,2016-07-14
JP-05,秋田県,372,423,0,795,19,NA,2016-07-14
JP-06,山形県,2382,707,32,3121,30,NA,2016-07-14
JP-07,福島県,45602,2248,NA,47850,47,※2 ※1,2016-07-14
JP-08,茨城県,2435,1331,32,3798,39,NA,2016-07-14
JP-09,栃木県,2098,738,75,2911,25,NA,2016-07-14
JP-10,群馬県,727,298,17,1042,26,NA,2016-07-14
JP-11,埼玉県,2956,1698,37,4691,56,NA,2016-07-14
JP-12,千葉県,1765,1300,30,3095,43,NA,2016-07-14
JP-13,東京都,4921,1683,37,6641,55,NA,2016-07-14
JP-14,神奈川県,1452,2087,0,3539,32,NA,2016-07-14
JP-15,新潟県,3201,145,33,3379,27,NA,2016-07-14
JP-16,富山県,109,67,0,176,8,NA,2016-07-14
JP-17,石川県,215,48,4,267,11,NA,2016-07-14
JP-18,福井県,170,26,0,196,10,NA,2016-07-14
JP-19,山梨県,560,117,1,678,21,NA,2016-07-14
JP-20,長野県,703,194,0,897,39,NA,2016-07-14
JP-21,岐阜県,169,86,0,255,22,NA,2016-07-14
JP-22,静岡県,554,259,4,817,31,NA,2016-07-14
JP-23,愛知県,914,120,0,1034,40,NA,2016-07-14
JP-24,三重県,364,81,0,445,15,NA,2016-07-14
JP-25,滋賀県,127,83,0,210,13,NA,2016-07-14
JP-26,京都府,341,294,0,635,14,NA,2016-07-14
JP-27,大阪府,401,0,0,401,18,NA,2016-07-14
JP-28,兵庫県,579,270,0,849,26,NA,2016-07-14
JP-29,奈良県,73,73,0,146,17,NA,2016-07-14
JP-30,和歌山県,64,24,0,88,11,NA,2016-07-14
JP-31,鳥取県,85,50,0,135,11,NA,2016-07-14
JP-32,島根県,58,11,2,71,9,NA,2016-07-14
JP-33,岡山県,702,329,0,1031,18,NA,2016-07-14
JP-34,広島県,186,188,1,375,14,NA,2016-07-14
JP-35,山口県,73,34,0,107,10,NA,2016-07-14
JP-36,徳島県,22,12,0,34,9,NA,2016-07-14
JP-37,香川県,61,16,0,77,8,NA,2016-07-14
JP-38,愛媛県,39,136,2,177,11,NA,2016-07-14
JP-39,高知県,33,41,0,74,12,NA,2016-07-14
JP-40,福岡県,533,146,0,679,39,NA,2016-07-14
JP-41,佐賀県,110,37,0,147,8,NA,2016-07-14
JP-42,長崎県,83,34,0,117,9,NA,2016-07-14
JP-43,熊本県,263,94,0,357,18,NA,2016-07-14
JP-44,大分県,161,14,1,176,14,NA,2016-07-14
JP-45,宮崎県,176,64,1,241,12,NA,2016-07-14
JP-46,鹿児島県,111,63,1,175,22,NA,2016-07-14
JP-47,沖縄県,599,23,4,626,31,NA,2016-07-14
