都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,582,2420,3002,95,NA,2012-08-02
JP-02,青森県,0,0,536,749,1285,25,NA,2012-08-02
JP-03,岩手県,0,0,709,41904,42613,27,※1,2012-08-02
JP-04,宮城県,0,0,926,126466,127392,34,※1,2012-08-02
JP-05,秋田県,0,0,490,872,1362,20,NA,2012-08-02
JP-06,山形県,0,0,694,11403,12097,34,NA,2012-08-02
JP-07,福島県,0,0,NA,100177,100177,47,※1,2012-08-02
JP-08,茨城県,0,0,603,5663,6266,42,NA,2012-08-02
JP-09,栃木県,0,0,858,2108,2966,25,NA,2012-08-02
JP-10,群馬県,0,0,243,1670,1913,28,NA,2012-08-02
JP-11,埼玉県,214,0,0,4185,4399,56,NA,2012-08-02
JP-12,千葉県,0,NA,3874,NA,3874,47,NA,2012-08-02
JP-13,東京都,0,0,2401,7047,9448,55,NA,2012-08-02
JP-14,神奈川県,0,0,0,2978,2978,25,※1,2012-08-02
JP-15,新潟県,0,0,395,6268,6663,30,※1,2012-08-02
JP-16,富山県,0,0,74,261,335,10,NA,2012-08-02
JP-17,石川県,0,0,109,386,495,11,NA,2012-08-02
JP-18,福井県,0,0,70,340,410,16,NA,2012-08-02
JP-19,山梨県,0,0,259,586,845,21,NA,2012-08-02
JP-20,長野県,0,0,139,1253,1392,45,NA,2012-08-02
JP-21,岐阜県,0,0,198,211,409,29,NA,2012-08-02
JP-22,静岡県,0,0,391,955,1346,32,NA,2012-08-02
JP-23,愛知県,0,0,223,1025,1248,46,NA,2012-08-02
JP-24,三重県,0,0,94,406,500,18,NA,2012-08-02
JP-25,滋賀県,0,0,247,120,367,16,NA,2012-08-02
JP-26,京都府,0,NA,242,781,1023,19,NA,2012-08-02
JP-27,大阪府,0,0,298,976,1274,31,NA,2012-08-02
JP-28,兵庫県,0,0,368,705,1073,27,NA,2012-08-02
JP-29,奈良県,0,0,65,104,169,18,NA,2012-08-02
JP-30,和歌山県,0,0,39,87,126,14,NA,2012-08-02
JP-31,鳥取県,0,0,57,135,192,14,NA,2012-08-02
JP-32,島根県,0,0,22,120,142,12,NA,2012-08-02
JP-33,岡山県,0,0,246,588,834,19,NA,2012-08-02
JP-34,広島県,0,0,189,381,570,16,NA,2012-08-02
JP-35,山口県,0,0,68,118,186,13,NA,2012-08-02
JP-36,徳島県,0,0,37,50,87,12,NA,2012-08-02
JP-37,香川県,0,0,20,89,109,10,NA,2012-08-02
JP-38,愛媛県,0,0,141,60,201,12,NA,2012-08-02
JP-39,高知県,0,0,79,66,145,15,NA,2012-08-02
JP-40,福岡県,0,0,170,596,766,37,NA,2012-08-02
JP-41,佐賀県,0,0,41,246,287,11,NA,2012-08-02
JP-42,長崎県,0,0,53,105,158,12,NA,2012-08-02
JP-43,熊本県,0,0,112,229,341,23,NA,2012-08-02
JP-44,大分県,0,0,85,263,348,16,NA,2012-08-02
JP-45,宮崎県,0,0,85,168,253,11,NA,2012-08-02
JP-46,鹿児島県,0,0,98,169,267,26,NA,2012-08-02
JP-47,沖縄県,0,1,73,927,1001,26,NA,2012-08-02
