都道府県コード,都道府県名,計,年月日
JP-03,岩手県,1801,2011-09-08
JP-04,宮城県,2853,2011-09-08
JP-05,秋田県,2026,2011-09-08
JP-06,山形県,11802,2011-09-08
JP-07,福島県,3834,2011-09-08
JP-08,茨城県,2533,2011-09-08
JP-09,栃木県,2724,2011-09-08
JP-10,群馬県,2078,2011-09-08
JP-11,埼玉県,5141,2011-09-08
JP-12,千葉県,3640,2011-09-08
JP-13,東京都,8487,2011-09-08
JP-14,神奈川県,1492,2011-09-08
JP-15,新潟県,6486,2011-09-08
JP-16,富山県,462,2011-09-08
JP-17,石川県,536,2011-09-08
JP-18,福井県,509,2011-09-08
JP-19,山梨県,907,2011-09-08
JP-20,長野県,1160,2011-09-08
JP-21,岐阜県,392,2011-09-08
JP-22,静岡県,1454,2011-09-08
JP-23,愛知県,1243,2011-09-08
JP-24,三重県,195,2011-09-08
JP-25,滋賀県,419,2011-09-08
JP-26,京都府,1000,2011-09-08
JP-27,大阪府,1063,2011-09-08
JP-28,兵庫県,1059,2011-09-08
JP-29,奈良県,151,2011-09-08
JP-30,和歌山県,117,2011-09-08
JP-31,鳥取県,156,2011-09-08
JP-32,島根県,152,2011-09-08
JP-33,岡山県,505,2011-09-08
JP-34,広島県,451,2011-09-08
JP-35,山口県,200,2011-09-08
JP-36,徳島県,137,2011-09-08
JP-37,香川県,82,2011-09-08
JP-38,愛媛県,245,2011-09-08
JP-39,高知県,130,2011-09-08
JP-40,福岡県,681,2011-09-08
JP-41,佐賀県,313,2011-09-08
JP-42,長崎県,170,2011-09-08
JP-43,熊本県,237,2011-09-08
JP-44,大分県,390,2011-09-08
JP-45,宮崎県,169,2011-09-08
JP-46,鹿児島県,280,2011-09-08
JP-47,沖縄県,691,2011-09-08
JP-01,北海道,3075,2011-09-22
JP-02,青森県,1212,2011-09-22
JP-03,岩手県,1807,2011-09-22
JP-04,宮城県,2122,2011-09-22
JP-05,秋田県,1695,2011-09-22
JP-06,山形県,12171,2011-09-22
JP-07,福島県,2634,2011-09-22
JP-08,茨城県,2872,2011-09-22
JP-09,栃木県,2745,2011-09-22
JP-10,群馬県,2089,2011-09-22
JP-11,埼玉県,5124,2011-09-22
JP-12,千葉県,3697,2011-09-22
JP-13,東京都,7779,2011-09-22
JP-14,神奈川県,1474,2011-09-22
JP-15,新潟県,6623,2011-09-22
JP-16,富山県,475,2011-09-22
JP-17,石川県,538,2011-09-22
JP-18,福井県,500,2011-09-22
JP-19,山梨県,888,2011-09-22
JP-20,長野県,1169,2011-09-22
JP-21,岐阜県,396,2011-09-22
JP-22,静岡県,1417,2011-09-22
JP-23,愛知県,1260,2011-09-22
JP-24,三重県,195,2011-09-22
JP-25,滋賀県,424,2011-09-22
JP-26,京都府,1008,2011-09-22
JP-27,大阪府,1386,2011-09-22
JP-28,兵庫県,1045,2011-09-22
JP-29,奈良県,157,2011-09-22
JP-30,和歌山県,122,2011-09-22
JP-31,鳥取県,168,2011-09-22
JP-32,島根県,152,2011-09-22
JP-33,岡山県,502,2011-09-22
JP-34,広島県,465,2011-09-22
JP-35,山口県,200,2011-09-22
JP-36,徳島県,159,2011-09-22
JP-37,香川県,87,2011-09-22
JP-38,愛媛県,247,2011-09-22
JP-39,高知県,135,2011-09-22
JP-40,福岡県,699,2011-09-22
JP-41,佐賀県,313,2011-09-22
JP-42,長崎県,172,2011-09-22
JP-43,熊本県,243,2011-09-22
JP-44,大分県,383,2011-09-22
JP-45,宮崎県,235,2011-09-22
JP-46,鹿児島県,275,2011-09-22
JP-47,沖縄県,715,2011-09-22
JP-01,北海道,3047,2011-10-06
JP-02,青森県,1196,2011-10-06
JP-03,岩手県,1877,2011-10-06
JP-04,宮城県,910,2011-10-06
JP-05,秋田県,1628,2011-10-06
JP-06,山形県,12613,2011-10-06
JP-07,福島県,1628,2011-10-06
JP-08,茨城県,2892,2011-10-06
JP-09,栃木県,2698,2011-10-06
JP-10,群馬県,2076,2011-10-06
JP-11,埼玉県,5036,2011-10-06
JP-12,千葉県,3659,2011-10-06
JP-13,東京都,7946,2011-10-06
JP-14,神奈川県,1476,2011-10-06
JP-15,新潟県,6654,2011-10-06
JP-16,富山県,469,2011-10-06
JP-17,石川県,542,2011-10-06
JP-18,福井県,503,2011-10-06
JP-19,山梨県,890,2011-10-06
JP-20,長野県,1143,2011-10-06
JP-21,岐阜県,414,2011-10-06
JP-22,静岡県,1433,2011-10-06
JP-23,愛知県,1275,2011-10-06
JP-24,三重県,190,2011-10-06
JP-25,滋賀県,421,2011-10-06
JP-26,京都府,1023,2011-10-06
JP-27,大阪府,1397,2011-10-06
JP-28,兵庫県,1058,2011-10-06
JP-29,奈良県,151,2011-10-06
JP-30,和歌山県,123,2011-10-06
JP-31,鳥取県,173,2011-10-06
JP-32,島根県,148,2011-10-06
JP-33,岡山県,500,2011-10-06
JP-34,広島県,493,2011-10-06
JP-35,山口県,192,2011-10-06
JP-36,徳島県,159,2011-10-06
JP-37,香川県,84,2011-10-06
JP-38,愛媛県,256,2011-10-06
JP-39,高知県,132,2011-10-06
JP-40,福岡県,697,2011-10-06
JP-41,佐賀県,308,2011-10-06
JP-42,長崎県,179,2011-10-06
JP-43,熊本県,248,2011-10-06
JP-44,大分県,378,2011-10-06
JP-45,宮崎県,237,2011-10-06
JP-46,鹿児島県,267,2011-10-06
JP-47,沖縄県,759,2011-10-06
JP-01,北海道,3049,2011-10-20
JP-02,青森県,1120,2011-10-20
JP-03,岩手県,1922,2011-10-20
JP-04,宮城県,321,2011-10-20
JP-05,秋田県,1633,2011-10-20
JP-06,山形県,13004,2011-10-20
JP-07,福島県,1149,2011-10-20
JP-08,茨城県,2945,2011-10-20
JP-09,栃木県,2710,2011-10-20
JP-10,群馬県,2055,2011-10-20
JP-11,埼玉県,4984,2011-10-20
JP-12,千葉県,3701,2011-10-20
JP-13,東京都,8108,2011-10-20
JP-14,神奈川県,1543,2011-10-20
JP-15,新潟県,6798,2011-10-20
JP-16,富山県,466,2011-10-20
JP-17,石川県,527,2011-10-20
JP-18,福井県,501,2011-10-20
JP-19,山梨県,858,2011-10-20
JP-20,長野県,1157,2011-10-20
JP-21,岐阜県,417,2011-10-20
JP-22,静岡県,1451,2011-10-20
JP-23,愛知県,1261,2011-10-20
JP-24,三重県,189,2011-10-20
JP-25,滋賀県,406,2011-10-20
JP-26,京都府,1033,2011-10-20
JP-27,大阪府,1401,2011-10-20
JP-28,兵庫県,1065,2011-10-20
JP-29,奈良県,154,2011-10-20
JP-30,和歌山県,123,2011-10-20
JP-31,鳥取県,172,2011-10-20
JP-32,島根県,149,2011-10-20
JP-33,岡山県,503,2011-10-20
JP-34,広島県,500,2011-10-20
JP-35,山口県,188,2011-10-20
JP-36,徳島県,159,2011-10-20
JP-37,香川県,85,2011-10-20
JP-38,愛媛県,267,2011-10-20
JP-39,高知県,133,2011-10-20
JP-40,福岡県,714,2011-10-20
JP-41,佐賀県,310,2011-10-20
JP-42,長崎県,181,2011-10-20
JP-43,熊本県,263,2011-10-20
JP-44,大分県,369,2011-10-20
JP-45,宮崎県,243,2011-10-20
JP-46,鹿児島県,269,2011-10-20
JP-47,沖縄県,802,2011-10-20
JP-01,北海道,3037,2011-11-02
JP-02,青森県,1098,2011-11-02
JP-03,岩手県,1978,2011-11-02
JP-04,宮城県,398,2011-11-02
JP-05,秋田県,1633,2011-11-02
JP-06,山形県,13342,2011-11-02
JP-07,福島県,466,2011-11-02
JP-08,茨城県,2971,2011-11-02
JP-09,栃木県,2682,2011-11-02
JP-10,群馬県,2035,2011-11-02
JP-11,埼玉県,4937,2011-11-02
JP-12,千葉県,3736,2011-11-02
JP-13,東京都,8354,2011-11-02
JP-14,神奈川県,1732,2011-11-02
JP-15,新潟県,6863,2011-11-02
JP-16,富山県,452,2011-11-02
JP-17,石川県,536,2011-11-02
JP-18,福井県,496,2011-11-02
JP-19,山梨県,834,2011-11-02
JP-20,長野県,1155,2011-11-02
JP-21,岐阜県,420,2011-11-02
JP-22,静岡県,1447,2011-11-02
JP-23,愛知県,1251,2011-11-02
JP-24,三重県,189,2011-11-02
JP-25,滋賀県,407,2011-11-02
JP-26,京都府,1041,2011-11-02
JP-27,大阪府,1420,2011-11-02
JP-28,兵庫県,1068,2011-11-02
JP-29,奈良県,157,2011-11-02
JP-30,和歌山県,124,2011-11-02
JP-31,鳥取県,170,2011-11-02
JP-32,島根県,149,2011-11-02
JP-33,岡山県,495,2011-11-02
JP-34,広島県,497,2011-11-02
JP-35,山口県,194,2011-11-02
JP-36,徳島県,161,2011-11-02
JP-37,香川県,88,2011-11-02
JP-38,愛媛県,267,2011-11-02
JP-39,高知県,132,2011-11-02
JP-40,福岡県,715,2011-11-02
JP-41,佐賀県,314,2011-11-02
JP-42,長崎県,179,2011-11-02
JP-43,熊本県,263,2011-11-02
JP-44,大分県,373,2011-11-02
JP-45,宮崎県,244,2011-11-02
JP-46,鹿児島県,261,2011-11-02
JP-47,沖縄県,804,2011-11-02
JP-01,北海道,3030,2011-11-17
JP-02,青森県,1122,2011-11-17
JP-03,岩手県,42472,2011-11-17
JP-04,宮城県,122229,2011-11-17
