都道府県コード,都道府県名,計,年月日
JP-15,新潟県,7091,2012-03-08
JP-16,富山県,386,2012-03-08
JP-17,石川県,527,2012-03-08
JP-18,福井県,447,2012-03-08
JP-19,山梨県,844,2012-03-08
JP-20,長野県,1368,2012-03-08
JP-21,岐阜県,412,2012-03-08
JP-22,静岡県,1396,2012-03-08
JP-23,愛知県,1284,2012-03-08
JP-24,三重県,417,2012-03-08
JP-25,滋賀県,390,2012-03-08
JP-26,京都府,1059,2012-03-08
JP-27,大阪府,1331,2012-03-08
JP-28,兵庫県,1068,2012-03-08
JP-29,奈良県,154,2012-03-08
JP-30,和歌山県,131,2012-03-08
JP-31,鳥取県,195,2012-03-08
JP-32,島根県,141,2012-03-08
JP-33,岡山県,669,2012-03-08
JP-34,広島県,532,2012-03-08
JP-35,山口県,202,2012-03-08
JP-36,徳島県,169,2012-03-08
JP-37,香川県,99,2012-03-08
JP-38,愛媛県,230,2012-03-08
JP-39,高知県,141,2012-03-08
JP-40,福岡県,711,2012-03-08
JP-41,佐賀県,324,2012-03-08
JP-42,長崎県,174,2012-03-08
JP-43,熊本県,307,2012-03-08
JP-44,大分県,358,2012-03-08
JP-45,宮崎県,255,2012-03-08
JP-46,鹿児島県,273,2012-03-08
JP-47,沖縄県,969,2012-03-08
JP-01,北海道,3063,2012-03-22
JP-02,青森県,1424,2012-03-22
JP-03,岩手県,42771,2012-03-22
JP-04,宮城県,127952,2012-03-22
JP-05,秋田県,1544,2012-03-22
JP-06,山形県,13693,2012-03-22
JP-07,福島県,98221,2012-03-22
JP-08,茨城県,5906,2012-03-22
JP-09,栃木県,3122,2012-03-22
JP-10,群馬県,2078,2012-03-22
JP-11,埼玉県,4575,2012-03-22
JP-12,千葉県,3687,2012-03-22
JP-13,東京都,9278,2012-03-22
JP-14,神奈川県,2892,2012-03-22
JP-15,新潟県,7111,2012-03-22
JP-16,富山県,391,2012-03-22
JP-17,石川県,532,2012-03-22
JP-18,福井県,447,2012-03-22
JP-19,山梨県,844,2012-03-22
JP-20,長野県,1364,2012-03-22
JP-21,岐阜県,410,2012-03-22
JP-22,静岡県,1394,2012-03-22
JP-23,愛知県,1268,2012-03-22
JP-24,三重県,413,2012-03-22
JP-25,滋賀県,386,2012-03-22
JP-26,京都府,1062,2012-03-22
JP-27,大阪府,1328,2012-03-22
JP-28,兵庫県,1064,2012-03-22
JP-29,奈良県,154,2012-03-22
JP-30,和歌山県,131,2012-03-22
JP-31,鳥取県,197,2012-03-22
JP-32,島根県,143,2012-03-22
JP-33,岡山県,669,2012-03-22
JP-34,広島県,543,2012-03-22
JP-35,山口県,206,2012-03-22
JP-36,徳島県,170,2012-03-22
JP-37,香川県,102,2012-03-22
JP-38,愛媛県,229,2012-03-22
JP-39,高知県,144,2012-03-22
JP-40,福岡県,732,2012-03-22
JP-41,佐賀県,315,2012-03-22
JP-42,長崎県,180,2012-03-22
JP-43,熊本県,310,2012-03-22
JP-44,大分県,356,2012-03-22
JP-45,宮崎県,266,2012-03-22
JP-46,鹿児島県,278,2012-03-22
JP-47,沖縄県,1000,2012-03-22
JP-01,北海道,3003,2012-04-05
JP-02,青森県,1410,2012-04-05
JP-03,岩手県,42716,2012-04-05
JP-04,宮城県,127825,2012-04-05
JP-05,秋田県,1473,2012-04-05
JP-06,山形県,13538,2012-04-05
JP-07,福島県,98595,2012-04-05
JP-08,茨城県,6077,2012-04-05
JP-09,栃木県,3157,2012-04-05
JP-10,群馬県,1974,2012-04-05
JP-11,埼玉県,4778,2012-04-05
JP-12,千葉県,3608,2012-04-05
JP-13,東京都,9505,2012-04-05
JP-14,神奈川県,2888,2012-04-05
JP-15,新潟県,6990,2012-04-05
JP-16,富山県,377,2012-04-05
JP-17,石川県,499,2012-04-05
JP-18,福井県,443,2012-04-05
JP-19,山梨県,837,2012-04-05
JP-20,長野県,1363,2012-04-05
JP-21,岐阜県,412,2012-04-05
JP-22,静岡県,1399,2012-04-05
JP-23,愛知県,1260,2012-04-05
JP-24,三重県,413,2012-04-05
JP-25,滋賀県,385,2012-04-05
JP-26,京都府,1056,2012-04-05
JP-27,大阪府,1335,2012-04-05
JP-28,兵庫県,1033,2012-04-05
JP-29,奈良県,166,2012-04-05
JP-30,和歌山県,130,2012-04-05
JP-31,鳥取県,194,2012-04-05
JP-32,島根県,142,2012-04-05
JP-33,岡山県,771,2012-04-05
JP-34,広島県,539,2012-04-05
JP-35,山口県,206,2012-04-05
JP-36,徳島県,100,2012-04-05
JP-37,香川県,111,2012-04-05
JP-38,愛媛県,232,2012-04-05
JP-39,高知県,142,2012-04-05
JP-40,福岡県,744,2012-04-05
JP-41,佐賀県,304,2012-04-05
JP-42,長崎県,174,2012-04-05
JP-43,熊本県,312,2012-04-05
JP-44,大分県,350,2012-04-05
JP-45,宮崎県,260,2012-04-05
JP-46,鹿児島県,281,2012-04-05
JP-47,沖縄県,970,2012-04-05
JP-01,北海道,3032,2012-05-10
JP-02,青森県,1391,2012-05-10
JP-03,岩手県,41124,2012-05-10
JP-04,宮城県,127459,2012-05-10
JP-05,秋田県,1442,2012-05-10
JP-06,山形県,13302,2012-05-10
JP-07,福島県,98021,2012-05-10
JP-08,茨城県,6095,2012-05-10
JP-09,栃木県,3022,2012-05-10
JP-10,群馬県,1971,2012-05-10
JP-11,埼玉県,4539,2012-05-10
JP-12,千葉県,3813,2012-05-10
JP-13,東京都,9493,2012-05-10
JP-14,神奈川県,2834,2012-05-10
JP-15,新潟県,6835,2012-05-10
JP-16,富山県,352,2012-05-10
JP-17,石川県,500,2012-05-10
JP-18,福井県,431,2012-05-10
JP-19,山梨県,856,2012-05-10
JP-20,長野県,1349,2012-05-10
JP-21,岐阜県,400,2012-05-10
JP-22,静岡県,1400,2012-05-10
JP-23,愛知県,1254,2012-05-10
JP-24,三重県,413,2012-05-10
JP-25,滋賀県,383,2012-05-10
JP-26,京都府,1059,2012-05-10
JP-27,大阪府,1305,2012-05-10
JP-28,兵庫県,1032,2012-05-10
JP-29,奈良県,167,2012-05-10
JP-30,和歌山県,130,2012-05-10
JP-31,鳥取県,201,2012-05-10
JP-32,島根県,142,2012-05-10
JP-33,岡山県,787,2012-05-10
JP-34,広島県,552,2012-05-10
JP-35,山口県,195,2012-05-10
JP-36,徳島県,100,2012-05-10
JP-37,香川県,115,2012-05-10
JP-38,愛媛県,210,2012-05-10
JP-39,高知県,143,2012-05-10
JP-40,福岡県,763,2012-05-10
JP-41,佐賀県,295,2012-05-10
JP-42,長崎県,166,2012-05-10
JP-43,熊本県,313,2012-05-10
JP-44,大分県,350,2012-05-10
JP-45,宮崎県,259,2012-05-10
JP-46,鹿児島県,265,2012-05-10
JP-47,沖縄県,975,2012-05-10
JP-01,北海道,3057,2012-06-07
JP-02,青森県,1324,2012-06-07
JP-03,岩手県,43096,2012-06-07
JP-04,宮城県,128197,2012-06-07
JP-05,秋田県,1408,2012-06-07
JP-06,山形県,13036,2012-06-07
JP-07,福島県,101320,2012-06-07
JP-08,茨城県,6185,2012-06-07
JP-09,栃木県,2976,2012-06-07
JP-10,群馬県,1918,2012-06-07
JP-11,埼玉県,4495,2012-06-07
JP-12,千葉県,3832,2012-06-07
JP-13,東京都,9453,2012-06-07
JP-14,神奈川県,2818,2012-06-07
JP-15,新潟県,6784,2012-06-07
JP-16,富山県,348,2012-06-07
JP-17,石川県,494,2012-06-07
JP-18,福井県,405,2012-06-07
JP-19,山梨県,859,2012-06-07
JP-20,長野県,1409,2012-06-07
JP-21,岐阜県,398,2012-06-07
JP-22,静岡県,1358,2012-06-07
JP-23,愛知県,1253,2012-06-07
JP-24,三重県,410,2012-06-07
JP-25,滋賀県,373,2012-06-07
JP-26,京都府,1052,2012-06-07
JP-27,大阪府,1509,2012-06-07
JP-28,兵庫県,1051,2012-06-07
JP-29,奈良県,166,2012-06-07
JP-30,和歌山県,123,2012-06-07
JP-31,鳥取県,202,2012-06-07
JP-32,島根県,142,2012-06-07
JP-33,岡山県,823,2012-06-07
JP-34,広島県,573,2012-06-07
JP-35,山口県,193,2012-06-07
JP-36,徳島県,95,2012-06-07
JP-37,香川県,111,2012-06-07
JP-38,愛媛県,204,2012-06-07
JP-39,高知県,144,2012-06-07
JP-40,福岡県,755,2012-06-07
JP-41,佐賀県,291,2012-06-07
JP-42,長崎県,159,2012-06-07
JP-43,熊本県,313,2012-06-07
JP-44,大分県,350,2012-06-07
JP-45,宮崎県,266,2012-06-07
JP-46,鹿児島県,271,2012-06-07
JP-47,沖縄県,988,2012-06-07
JP-01,北海道,2996,2012-07-05
JP-02,青森県,1297,2012-07-05
JP-03,岩手県,42774,2012-07-05
JP-04,宮城県,127628,2012-07-05
JP-05,秋田県,1373,2012-07-05
JP-06,山形県,12713,2012-07-05
JP-07,福島県,100096,2012-07-05
JP-08,茨城県,6207,2012-07-05
JP-09,栃木県,2981,2012-07-05
JP-10,群馬県,1929,2012-07-05
JP-11,埼玉県,4465,2012-07-05
JP-12,千葉県,3860,2012-07-05
JP-13,東京都,9447,2012-07-05
JP-14,神奈川県,3000,2012-07-05
JP-15,新潟県,6712,2012-07-05
JP-16,富山県,343,2012-07-05
JP-17,石川県,489,2012-07-05
JP-18,福井県,402,2012-07-05
JP-19,山梨県,855,2012-07-05
JP-20,長野県,1409,2012-07-05
JP-21,岐阜県,406,2012-07-05
JP-22,静岡県,1349,2012-07-05
JP-23,愛知県,1269,2012-07-05
JP-24,三重県,412,2012-07-05
JP-25,滋賀県,371,2012-07-05
JP-26,京都府,1025,2012-07-05
JP-27,大阪府,1275,2012-07-05
JP-28,兵庫県,1066,2012-07-05
JP-29,奈良県,166,2012-07-05
JP-30,和歌山県,126,2012-07-05
JP-31,鳥取県,201,2012-07-05
JP-32,島根県,142,2012-07-05
JP-33,岡山県,826,2012-07-05
JP-34,広島県,397,2012-07-05
JP-35,山口県,194,2012-07-05
JP-36,徳島県,88,2012-07-05
JP-37,香川県,111,2012-07-05
JP-38,愛媛県,211,2012-07-05
JP-39,高知県,145,2012-07-05
JP-40,福岡県,764,2012-07-05
JP-41,佐賀県,290,2012-07-05
JP-42,長崎県,156,2012-07-05
JP-43,熊本県,313,2012-07-05
JP-44,大分県,348,2012-07-05
JP-45,宮崎県,256,2012-07-05
JP-46,鹿児島県,278,2012-07-05
JP-47,沖縄県,1010,2012-07-05
JP-01,北海道,3002,2012-08-02
JP-02,青森県,1285,2012-08-02
JP-03,岩手県,42613,2012-08-02
JP-04,宮城県,127392,2012-08-02
JP-05,秋田県,1362,2012-08-02
JP-06,山形県,12097,2012-08-02
JP-07,福島県,100177,2012-08-02
JP-08,茨城県,6266,2012-08-02
JP-09,栃木県,2966,2012-08-02
JP-10,群馬県,1913,2012-08-02
JP-11,埼玉県,4399,2012-08-02
JP-12,千葉県,3874,2012-08-02
JP-13,東京都,9448,2012-08-02
JP-14,神奈川県,2978,2012-08-02
JP-15,新潟県,6663,2012-08-02
JP-16,富山県,335,2012-08-02
JP-17,石川県,495,2012-08-02
JP-18,福井県,410,2012-08-02
JP-19,山梨県,845,2012-08-02
JP-20,長野県,1392,2012-08-02
JP-21,岐阜県,409,2012-08-02
JP-22,静岡県,1346,2012-08-02
JP-23,愛知県,1248,2012-08-02
JP-24,三重県,500,2012-08-02
JP-25,滋賀県,367,2012-08-02
JP-26,京都府,1023,2012-08-02
JP-27,大阪府,1274,2012-08-02
JP-28,兵庫県,1073,2012-08-02
JP-29,奈良県,169,2012-08-02
JP-30,和歌山県,126,2012-08-02
JP-31,鳥取県,192,2012-08-02
JP-32,島根県,142,2012-08-02
JP-33,岡山県,834,2012-08-02
JP-34,広島県,570,2012-08-02
JP-35,山口県,186,2012-08-02
JP-36,徳島県,87,2012-08-02
JP-37,香川県,109,2012-08-02
JP-38,愛媛県,201,2012-08-02
JP-39,高知県,145,2012-08-02
JP-40,福岡県,766,2012-08-02
JP-41,佐賀県,287,2012-08-02
JP-42,長崎県,158,2012-08-02
JP-43,熊本県,341,2012-08-02
JP-44,大分県,348,2012-08-02
JP-45,宮崎県,253,2012-08-02
JP-46,鹿児島県,267,2012-08-02
JP-47,沖縄県,1001,2012-08-02
JP-01,北海道,3011,2012-09-06
JP-02,青森県,1268,2012-09-06
JP-03,岩手県,42263,2012-09-06
JP-04,宮城県,115856,2012-09-06
JP-05,秋田県,1346,2012-09-06
JP-06,山形県,11751,2012-09-06
JP-07,福島県,99521,2012-09-06
JP-08,茨城県,6240,2012-09-06
JP-09,栃木県,2953,2012-09-06
JP-10,群馬県,1885,2012-09-06
JP-11,埼玉県,4329,2012-09-06
JP-12,千葉県,3871,2012-09-06
JP-13,東京都,9397,2012-09-06
JP-14,神奈川県,2942,2012-09-06
JP-15,新潟県,6452,2012-09-06
JP-16,富山県,335,2012-09-06
JP-17,石川県,490,2012-09-06
JP-18,福井県,325,2012-09-06
JP-19,山梨県,822,2012-09-06
JP-20,長野県,1387,2012-09-06
JP-21,岐阜県,379,2012-09-06
JP-22,静岡県,1314,2012-09-06
JP-23,愛知県,1255,2012-09-06
JP-24,三重県,501,2012-09-06
JP-25,滋賀県,366,2012-09-06
JP-26,京都府,1026,2012-09-06
JP-27,大阪府,1238,2012-09-06
JP-28,兵庫県,1063,2012-09-06
JP-29,奈良県,191,2012-09-06
JP-30,和歌山県,128,2012-09-06
JP-31,鳥取県,195,2012-09-06
JP-32,島根県,142,2012-09-06
JP-33,岡山県,820,2012-09-06
JP-34,広島県,570,2012-09-06
JP-35,山口県,180,2012-09-06
JP-36,徳島県,88,2012-09-06
JP-37,香川県,104,2012-09-06
JP-38,愛媛県,201,2012-09-06
JP-39,高知県,146,2012-09-06
JP-40,福岡県,758,2012-09-06
JP-41,佐賀県,284,2012-09-06
JP-42,長崎県,155,2012-09-06
JP-43,熊本県,332,2012-09-06
JP-44,大分県,352,2012-09-06
JP-45,宮崎県,258,2012-09-06
JP-46,鹿児島県,269,2012-09-06
JP-47,沖縄県,1018,2012-09-06
JP-01,北海道,2995,2012-10-04
JP-02,青森県,1247,2012-10-04
JP-03,岩手県,41969,2012-10-04
JP-04,宮城県,114787,2012-10-04
JP-05,秋田県,1327,2012-10-04
JP-06,山形県,11406,2012-10-04
JP-07,福島県,99229,2012-10-04
JP-08,茨城県,5844,2012-10-04
JP-09,栃木県,2948,2012-10-04
JP-10,群馬県,1853,2012-10-04
JP-11,埼玉県,4261,2012-10-04
JP-12,千葉県,3894,2012-10-04
JP-13,東京都,9222,2012-10-04
JP-14,神奈川県,2904,2012-10-04
JP-15,新潟県,6366,2012-10-04
JP-16,富山県,335,2012-10-04
JP-17,石川県,480,2012-10-04
JP-18,福井県,323,2012-10-04
JP-19,山梨県,839,2012-10-04
JP-20,長野県,1396,2012-10-04
JP-21,岐阜県,347,2012-10-04
JP-22,静岡県,1313,2012-10-04
JP-23,愛知県,1243,2012-10-04
JP-24,三重県,501,2012-10-04
JP-25,滋賀県,362,2012-10-04
JP-26,京都府,1010,2012-10-04
JP-27,大阪府,1212,2012-10-04
JP-28,兵庫県,1054,2012-10-04
JP-29,奈良県,191,2012-10-04
JP-30,和歌山県,125,2012-10-04
JP-31,鳥取県,205,2012-10-04
JP-32,島根県,136,2012-10-04
JP-33,岡山県,838,2012-10-04
JP-34,広島県,568,2012-10-04
JP-35,山口県,170,2012-10-04
JP-36,徳島県,91,2012-10-04
JP-37,香川県,104,2012-10-04
JP-38,愛媛県,198,2012-10-04
JP-39,高知県,148,2012-10-04
JP-40,福岡県,768,2012-10-04
JP-41,佐賀県,279,2012-10-04
JP-42,長崎県,151,2012-10-04
JP-43,熊本県,331,2012-10-04
JP-44,大分県,359,2012-10-04
JP-45,宮崎県,252,2012-10-04
JP-46,鹿児島県,266,2012-10-04
JP-47,沖縄県,1026,2012-10-04
JP-01,北海道,2985,2012-11-01
JP-02,青森県,1241,2012-11-01
JP-03,岩手県,41695,2012-11-01
JP-04,宮城県,113717,2012-11-01
JP-05,秋田県,1311,2012-11-01
JP-06,山形県,11121,2012-11-01
JP-07,福島県,99139,2012-11-01
JP-08,茨城県,5859,2012-11-01
JP-09,栃木県,2940,2012-11-01
JP-10,群馬県,1850,2012-11-01
JP-11,埼玉県,4223,2012-11-01
JP-12,千葉県,3914,2012-11-01
JP-13,東京都,9227,2012-11-01
JP-14,神奈川県,2879,2012-11-01
JP-15,新潟県,6253,2012-11-01
JP-16,富山県,331,2012-11-01
JP-17,石川県,470,2012-11-01
JP-18,福井県,328,2012-11-01
JP-19,山梨県,838,2012-11-01
JP-20,長野県,1386,2012-11-01
JP-21,岐阜県,344,2012-11-01
JP-22,静岡県,1253,2012-11-01
JP-23,愛知県,1242,2012-11-01
JP-24,三重県,509,2012-11-01
JP-25,滋賀県,361,2012-11-01
JP-26,京都府,1002,2012-11-01
JP-27,大阪府,1193,2012-11-01
JP-28,兵庫県,1055,2012-11-01
JP-29,奈良県,187,2012-11-01
JP-30,和歌山県,126,2012-11-01
JP-31,鳥取県,205,2012-11-01
JP-32,島根県,136,2012-11-01
JP-33,岡山県,846,2012-11-01
JP-34,広島県,573,2012-11-01
JP-35,山口県,168,2012-11-01
JP-36,徳島県,91,2012-11-01
JP-37,香川県,102,2012-11-01
JP-38,愛媛県,198,2012-11-01
JP-39,高知県,148,2012-11-01
JP-40,福岡県,756,2012-11-01
JP-41,佐賀県,279,2012-11-01
JP-42,長崎県,151,2012-11-01
JP-43,熊本県,320,2012-11-01
JP-44,大分県,358,2012-11-01
JP-45,宮崎県,248,2012-11-01
JP-46,鹿児島県,272,2012-11-01
JP-47,沖縄県,1028,2012-11-01
JP-01,北海道,2981,2012-12-06
JP-02,青森県,1198,2012-12-06
JP-03,岩手県,41626,2012-12-06
JP-04,宮城県,112008,2012-12-06
JP-05,秋田県,1307,2012-12-06
JP-06,山形県,10693,2012-12-06
JP-07,福島県,98235,2012-12-06
JP-08,茨城県,5889,2012-12-06
JP-09,栃木県,2904,2012-12-06
JP-10,群馬県,1828,2012-12-06
JP-11,埼玉県,4163,2012-12-06
JP-12,千葉県,3936,2012-12-06
JP-13,東京都,9177,2012-12-06
JP-14,神奈川県,2791,2012-12-06
JP-15,新潟県,6199,2012-12-06
JP-16,富山県,331,2012-12-06
JP-17,石川県,471,2012-12-06
JP-18,福井県,332,2012-12-06
JP-19,山梨県,829,2012-12-06
JP-20,長野県,1327,2012-12-06
JP-21,岐阜県,338,2012-12-06
JP-22,静岡県,1242,2012-12-06
JP-23,愛知県,1246,2012-12-06
JP-24,三重県,512,2012-12-06
JP-25,滋賀県,357,2012-12-06
JP-26,京都府,1010,2012-12-06
JP-27,大阪府,1181,2012-12-06
JP-28,兵庫県,1032,2012-12-06
JP-29,奈良県,183,2012-12-06
JP-30,和歌山県,120,2012-12-06
JP-31,鳥取県,205,2012-12-06
JP-32,島根県,132,2012-12-06
JP-33,岡山県,881,2012-12-06
JP-34,広島県,580,2012-12-06
JP-35,山口県,169,2012-12-06
JP-36,徳島県,91,2012-12-06
JP-37,香川県,102,2012-12-06
JP-38,愛媛県,195,2012-12-06
JP-39,高知県,148,2012-12-06
JP-40,福岡県,761,2012-12-06
JP-41,佐賀県,278,2012-12-06
JP-42,長崎県,151,2012-12-06
JP-43,熊本県,383,2012-12-06
JP-44,大分県,348,2012-12-06
JP-45,宮崎県,260,2012-12-06
JP-46,鹿児島県,270,2012-12-06
JP-47,沖縄県,1033,2012-12-06
JP-01,北海道,2966,2013-01-17
JP-02,青森県,1164,2013-01-17
JP-03,岩手県,40724,2013-01-17
JP-04,宮城県,110060,2013-01-17
JP-05,秋田県,1280,2013-01-17
JP-06,山形県,10187,2013-01-17
JP-07,福島県,97271,2013-01-17
JP-08,茨城県,5406,2013-01-17
JP-09,栃木県,3108,2013-01-17
JP-10,群馬県,1818,2013-01-17
JP-11,埼玉県,4088,2013-01-17
JP-12,千葉県,3951,2013-01-17
JP-13,東京都,9095,2013-01-17
JP-14,神奈川県,2772,2013-01-17
JP-15,新潟県,6006,2013-01-17
JP-16,富山県,325,2013-01-17
JP-17,石川県,469,2013-01-17
JP-18,福井県,328,2013-01-17
JP-19,山梨県,829,2013-01-17
JP-20,長野県,1289,2013-01-17
JP-21,岐阜県,339,2013-01-17
JP-22,静岡県,1227,2013-01-17
JP-23,愛知県,1245,2013-01-17
JP-24,三重県,511,2013-01-17
JP-25,滋賀県,351,2013-01-17
JP-26,京都府,1012,2013-01-17
JP-27,大阪府,1179,2013-01-17
JP-28,兵庫県,1038,2013-01-17
JP-29,奈良県,187,2013-01-17
JP-30,和歌山県,120,2013-01-17
JP-31,鳥取県,203,2013-01-17
JP-32,島根県,133,2013-01-17
JP-33,岡山県,896,2013-01-17
JP-34,広島県,579,2013-01-17
JP-35,山口県,165,2013-01-17
JP-36,徳島県,86,2013-01-17
JP-37,香川県,103,2013-01-17
JP-38,愛媛県,202,2013-01-17
JP-39,高知県,141,2013-01-17
JP-40,福岡県,755,2013-01-17
JP-41,佐賀県,273,2013-01-17
JP-42,長崎県,152,2013-01-17
JP-43,熊本県,385,2013-01-17
JP-44,大分県,348,2013-01-17
JP-45,宮崎県,261,2013-01-17
JP-46,鹿児島県,270,2013-01-17
JP-47,沖縄県,1056,2013-01-17
JP-01,北海道,2939,2013-02-07
JP-02,青森県,1159,2013-02-07
JP-03,岩手県,40608,2013-02-07
JP-04,宮城県,109637,2013-02-07
JP-05,秋田県,1282,2013-02-07
JP-06,山形県,10084,2013-02-07
JP-07,福島県,97022,2013-02-07
JP-08,茨城県,5375,2013-02-07
JP-09,栃木県,3109,2013-02-07
JP-10,群馬県,1803,2013-02-07
JP-11,埼玉県,4037,2013-02-07
JP-12,千葉県,3954,2013-02-07
JP-13,東京都,9078,2013-02-07
JP-14,神奈川県,2758,2013-02-07
JP-15,新潟県,5952,2013-02-07
JP-16,富山県,325,2013-02-07
JP-17,石川県,471,2013-02-07
JP-18,福井県,325,2013-02-07
JP-19,山梨県,826,2013-02-07
JP-20,長野県,1290,2013-02-07
JP-21,岐阜県,339,2013-02-07
JP-22,静岡県,1204,2013-02-07
JP-23,愛知県,1231,2013-02-07
JP-24,三重県,500,2013-02-07
JP-25,滋賀県,351,2013-02-07
JP-26,京都府,1014,2013-02-07
JP-27,大阪府,1176,2013-02-07
JP-28,兵庫県,1037,2013-02-07
JP-29,奈良県,187,2013-02-07
JP-30,和歌山県,120,2013-02-07
JP-31,鳥取県,203,2013-02-07
JP-32,島根県,133,2013-02-07
JP-33,岡山県,905,2013-02-07
JP-34,広島県,578,2013-02-07
JP-35,山口県,163,2013-02-07
JP-36,徳島県,88,2013-02-07
JP-37,香川県,100,2013-02-07
JP-38,愛媛県,202,2013-02-07
JP-39,高知県,140,2013-02-07
JP-40,福岡県,747,2013-02-07
JP-41,佐賀県,271,2013-02-07
JP-42,長崎県,152,2013-02-07
JP-43,熊本県,385,2013-02-07
JP-44,大分県,342,2013-02-07
JP-45,宮崎県,262,2013-02-07
JP-46,鹿児島県,270,2013-02-07
JP-47,沖縄県,1062,2013-02-07
JP-01,北海道,2947,2013-03-07
JP-02,青森県,1149,2013-03-07
JP-03,岩手県,40304,2013-03-07
JP-04,宮城県,108357,2013-03-07
JP-05,秋田県,1281,2013-03-07
JP-06,山形県,9982,2013-03-07
JP-07,福島県,97072,2013-03-07
JP-08,茨城県,5403,2013-03-07
JP-09,栃木県,3101,2013-03-07
JP-10,群馬県,1770,2013-03-07
JP-11,埼玉県,3989,2013-03-07
JP-12,千葉県,3993,2013-03-07
JP-13,東京都,9037,2013-03-07
JP-14,神奈川県,2719,2013-03-07
JP-15,新潟県,5905,2013-03-07
JP-16,富山県,306,2013-03-07
JP-17,石川県,474,2013-03-07
JP-18,福井県,325,2013-03-07
JP-19,山梨県,826,2013-03-07
JP-20,長野県,1283,2013-03-07
JP-21,岐阜県,340,2013-03-07
JP-22,静岡県,1158,2013-03-07
JP-23,愛知県,1242,2013-03-07
JP-24,三重県,508,2013-03-07
JP-25,滋賀県,347,2013-03-07
JP-26,京都府,1008,2013-03-07
JP-27,大阪府,1176,2013-03-07
JP-28,兵庫県,1036,2013-03-07
JP-29,奈良県,186,2013-03-07
JP-30,和歌山県,115,2013-03-07
JP-31,鳥取県,205,2013-03-07
JP-32,島根県,133,2013-03-07
JP-33,岡山県,920,2013-03-07
JP-34,広島県,576,2013-03-07
JP-35,山口県,163,2013-03-07
JP-36,徳島県,88,2013-03-07
JP-37,香川県,100,2013-03-07
JP-38,愛媛県,202,2013-03-07
JP-39,高知県,126,2013-03-07
JP-40,福岡県,745,2013-03-07
JP-41,佐賀県,271,2013-03-07
JP-42,長崎県,150,2013-03-07
JP-43,熊本県,394,2013-03-07
JP-44,大分県,329,2013-03-07
JP-45,宮崎県,262,2013-03-07
JP-46,鹿児島県,273,2013-03-07
JP-47,沖縄県,1053,2013-03-07
JP-01,北海道,2897,2013-04-04
JP-02,青森県,1000,2013-04-04
JP-03,岩手県,40012,2013-04-04
JP-04,宮城県,106609,2013-04-04
JP-05,秋田県,1245,2013-04-04
JP-06,山形県,9541,2013-04-04
JP-07,福島県,96264,2013-04-04
JP-08,茨城県,5383,2013-04-04
JP-09,栃木県,3093,2013-04-04
JP-10,群馬県,1741,2013-04-04
JP-11,埼玉県,3798,2013-04-04
JP-12,千葉県,3988,2013-04-04
JP-13,東京都,9005,2013-04-04
JP-14,神奈川県,2681,2013-04-04
JP-15,新潟県,5759,2013-04-04
JP-16,富山県,301,2013-04-04
JP-17,石川県,468,2013-04-04
JP-18,福井県,298,2013-04-04
JP-19,山梨県,796,2013-04-04
JP-20,長野県,1249,2013-04-04
JP-21,岐阜県,339,2013-04-04
JP-22,静岡県,1132,2013-04-04
JP-23,愛知県,1245,2013-04-04
JP-24,三重県,492,2013-04-04
JP-25,滋賀県,351,2013-04-04
JP-26,京都府,995,2013-04-04
JP-27,大阪府,1179,2013-04-04
JP-28,兵庫県,1020,2013-04-04
JP-29,奈良県,173,2013-04-04
JP-30,和歌山県,106,2013-04-04
JP-31,鳥取県,201,2013-04-04
JP-32,島根県,130,2013-04-04
JP-33,岡山県,947,2013-04-04
JP-34,広島県,561,2013-04-04
JP-35,山口県,160,2013-04-04
JP-36,徳島県,85,2013-04-04
JP-37,香川県,99,2013-04-04
JP-38,愛媛県,197,2013-04-04
JP-39,高知県,126,2013-04-04
JP-40,福岡県,749,2013-04-04
JP-41,佐賀県,258,2013-04-04
JP-42,長崎県,144,2013-04-04
JP-43,熊本県,400,2013-04-04
JP-44,大分県,312,2013-04-04
JP-45,宮崎県,262,2013-04-04
JP-46,鹿児島県,254,2013-04-04
JP-47,沖縄県,1012,2013-04-04
JP-01,北海道,2861,2013-05-09
JP-02,青森県,951,2013-05-09
JP-03,岩手県,39382,2013-05-09
JP-04,宮城県,104438,2013-05-09
JP-05,秋田県,1224,2013-05-09
JP-06,山形県,9310,2013-05-09
JP-07,福島県,94876,2013-05-09
JP-08,茨城県,5348,2013-05-09
JP-09,栃木県,3067,2013-05-09
JP-10,群馬県,1697,2013-05-09
JP-11,埼玉県,3641,2013-05-09
JP-12,千葉県,4015,2013-05-09
JP-13,東京都,8960,2013-05-09
JP-14,神奈川県,2626,2013-05-09
JP-15,新潟県,5324,2013-05-09
JP-16,富山県,296,2013-05-09
JP-17,石川県,449,2013-05-09
JP-18,福井県,298,2013-05-09
JP-19,山梨県,793,2013-05-09
JP-20,長野県,1243,2013-05-09
JP-21,岐阜県,318,2013-05-09
JP-22,静岡県,1115,2013-05-09
JP-23,愛知県,1248,2013-05-09
JP-24,三重県,502,2013-05-09
JP-25,滋賀県,350,2013-05-09
JP-26,京都府,990,2013-05-09
JP-27,大阪府,1151,2013-05-09
JP-28,兵庫県,1002,2013-05-09
JP-29,奈良県,173,2013-05-09
JP-30,和歌山県,103,2013-05-09
